| slit |                    name | spat_pixpos | spat_fracpos | box_width | opt_fwhm |   s2n | wv_rms |
| 1021 | SPAT0458-SLIT1021-DET01 |       457.5 |        0.221 |      3.00 |   13.776 |  4.51 |  0.059 |
| 1021 | SPAT0483-SLIT1021-DET01 |       482.8 |        0.233 |      3.00 |   18.015 |  5.56 |  0.059 |
| 1021 | SPAT0502-SLIT1021-DET01 |       501.7 |        0.243 |      3.00 |   19.498 |  5.07 |  0.059 |
| 1021 | SPAT0936-SLIT1021-DET01 |       935.9 |        0.458 |      3.00 |    0.438 | 21.58 |  0.059 |
| 1021 | SPAT1048-SLIT1021-DET01 |      1048.2 |        0.513 |      3.00 |    9.427 |  2.64 |  0.059 |
| 1021 | SPAT1424-SLIT1021-DET01 |      1423.8 |        0.699 |      3.00 |   35.938 |  7.55 |  0.059 |
| 1021 | SPAT1436-SLIT1021-DET01 |      1436.5 |        0.706 |      3.00 |   38.785 |  7.63 |  0.059 |
| 1021 | SPAT1452-SLIT1021-DET01 |      1452.1 |        0.713 |      3.00 |   37.100 |  7.10 |  0.059 |
| 1021 | SPAT1859-SLIT1021-DET01 |      1859.1 |        0.915 |      3.00 |   11.753 |  4.43 |  0.059 |
| 1021 | SPAT1899-SLIT1021-DET01 |      1899.0 |        0.934 |      3.00 |   11.077 |  5.06 |  0.059 |
