| slit |                    name | spat_pixpos | spat_fracpos | box_width | opt_fwhm |   s2n |
| 1032 | SPAT0860-SLIT1032-DET01 |       859.9 |        0.416 |      3.00 |    0.642 | 41.82 |
| 1032 | SPAT0907-SLIT1032-DET01 |       907.1 |        0.439 |      3.00 |    2.879 |  0.46 |
| 1032 | SPAT1045-SLIT1032-DET01 |      1045.2 |        0.507 |      3.00 |    1.120 |  0.26 |
| 1032 | SPAT1285-SLIT1032-DET01 |      1284.6 |        0.624 |      3.00 |    3.976 |  0.88 |
| 1032 | SPAT1288-SLIT1032-DET01 |      1287.9 |        0.625 |      3.00 |    3.997 |  0.94 |
| 1032 | SPAT1352-SLIT1032-DET01 |      1352.2 |        0.657 |      3.00 |    3.614 |  0.29 |
| 1032 | SPAT1610-SLIT1032-DET01 |      1610.4 |        0.783 |      3.00 |    2.194 |  0.15 |
| 1032 | SPAT1730-SLIT1032-DET01 |      1730.3 |        0.842 |      3.00 |    4.222 |  0.25 |
| 1032 | SPAT1737-SLIT1032-DET01 |      1737.4 |        0.845 |      3.00 |    4.153 |  0.33 |
| 1032 | SPAT1743-SLIT1032-DET01 |      1742.9 |        0.848 |      3.00 |    3.968 |  0.33 |
