| slit |                    name | spat_pixpos | spat_fracpos | box_width | opt_fwhm |  s2n |
| 1032 | SPAT0586-SLIT1032-DET01 |       585.7 |        0.282 |      3.00 |    3.065 | 2.06 |
| 1032 | SPAT0834-SLIT1032-DET01 |       834.4 |        0.404 |      3.00 |    2.293 | 2.47 |
| 1032 | SPAT0844-SLIT1032-DET01 |       844.1 |        0.408 |      3.00 |    3.200 | 1.94 |
| 1032 | SPAT0925-SLIT1032-DET01 |       924.7 |        0.448 |      3.00 |    0.739 | 4.85 |
| 1032 | SPAT1030-SLIT1032-DET01 |      1029.7 |        0.499 |      3.00 |    3.902 | 0.90 |
| 1032 | SPAT1472-SLIT1032-DET01 |      1472.5 |        0.716 |      3.00 |    4.060 | 1.06 |
| 1032 | SPAT1483-SLIT1032-DET01 |      1483.1 |        0.721 |      3.00 |    4.268 | 1.19 |
| 1032 | SPAT1672-SLIT1032-DET01 |      1671.9 |        0.813 |      3.00 |    3.699 | 0.72 |
