| slit |                    name | spat_pixpos | spat_fracpos | box_width | opt_fwhm |   s2n | wv_rms |
| 1039 | SPAT0753-SLIT1039-DET01 |       752.5 |        0.057 |      3.00 |    2.418 |  0.02 |  0.054 |
| 1039 | SPAT0787-SLIT1039-DET01 |       786.5 |        0.108 |      3.00 |    2.931 |  0.06 |  0.054 |
| 1039 | SPAT0805-SLIT1039-DET01 |       805.3 |        0.138 |      3.00 |    1.288 |  0.03 |  0.054 |
| 1039 | SPAT0874-SLIT1039-DET01 |       874.4 |        0.244 |      3.00 |    0.917 |  0.42 |  0.054 |
| 1039 | SPAT0942-SLIT1039-DET01 |       941.9 |        0.350 |      3.00 |    0.946 |  1.10 |  0.054 |
| 1039 | SPAT1068-SLIT1039-DET01 |      1068.1 |        0.547 |      3.00 |    1.567 |  0.40 |  0.054 |
| 1039 | SPAT1090-SLIT1039-DET01 |      1090.1 |        0.581 |      3.00 |    0.904 | 28.90 |  0.054 |
| 1039 | SPAT1200-SLIT1039-DET01 |      1199.8 |        0.752 |      3.00 |    1.162 |  0.10 |  0.054 |
| 1039 | SPAT1214-SLIT1039-DET01 |      1214.0 |        0.774 |      3.00 |    1.358 |  0.26 |  0.054 |
| 1039 | SPAT1242-SLIT1039-DET01 |      1242.4 |        0.820 |      3.00 |    0.907 |  0.04 |  0.054 |
