| order |          name | spat_pixpos | spat_fracpos | box_width | opt_fwhm |    s2n | wv_rms |
|     7 | OBJ0193-DET01 |       194.1 |        0.193 |      1.50 |    0.606 |   0.00 |  0.057 |
|     7 | OBJ0548-DET01 |       240.5 |        0.548 |      1.50 |    0.714 |   0.00 |  0.057 |
|     7 | OBJ0557-DET01 |       241.6 |        0.557 |      1.50 |    0.714 |   0.00 |  0.057 |
|     7 | OBJ0514-DET01 |       242.9 |        0.514 |      1.50 |    0.714 |   0.00 |  0.057 |
|     7 | OBJ0939-DET01 |       294.6 |        0.939 |      1.50 |    3.891 |   0.00 |  0.057 |
|     6 | OBJ0193-DET01 |       378.0 |        0.193 |      1.50 |    0.562 | 130.68 |  0.066 |
|     6 | OBJ0514-DET01 |       417.2 |        0.514 |      1.50 |    2.350 |  -0.35 |  0.066 |
|     6 | OBJ0548-DET01 |       419.8 |        0.548 |      1.50 |    2.581 |   0.42 |  0.066 |
|     6 | OBJ0557-DET01 |       420.4 |        0.557 |      1.50 |    0.714 |   0.39 |  0.066 |
|     6 | OBJ0939-DET01 |       473.2 |        0.939 |      1.50 |    3.078 |  42.84 |  0.066 |
|     5 | OBJ0193-DET01 |       536.6 |        0.193 |      1.50 |    0.522 | 128.67 |  0.147 |
|     5 | OBJ0514-DET01 |       574.9 |        0.514 |      1.50 |    2.684 | 119.53 |  0.147 |
|     5 | OBJ0548-DET01 |       579.1 |        0.548 |      1.50 |    0.979 | 186.55 |  0.147 |
|     5 | OBJ0557-DET01 |       580.8 |        0.557 |      1.50 |    1.614 | 100.77 |  0.147 |
|     5 | OBJ0939-DET01 |       628.1 |        0.939 |      1.50 |    1.995 | 205.66 |  0.147 |
|     4 | OBJ0193-DET01 |       683.4 |        0.193 |      1.50 |    0.509 | 130.39 |  0.126 |
|     4 | OBJ0514-DET01 |       720.6 |        0.514 |      1.50 |    2.618 |  -7.30 |  0.126 |
|     4 | OBJ0548-DET01 |       725.6 |        0.548 |      1.50 |    2.569 |  -6.32 |  0.126 |
|     4 | OBJ0557-DET01 |       725.7 |        0.557 |      1.50 |    0.714 |  -3.44 |  0.126 |
|     4 | OBJ0939-DET01 |       771.5 |        0.939 |      1.50 |    2.508 |  18.74 |  0.126 |
|     3 | OBJ0193-DET01 |       848.8 |        0.193 |      1.50 |    0.447 | 117.88 |  0.174 |
|     3 | OBJ0514-DET01 |       888.9 |        0.514 |      1.50 |    3.590 |  -2.53 |  0.174 |
|     3 | OBJ0548-DET01 |       889.7 |        0.548 |      1.50 |    1.890 |  -1.21 |  0.174 |
|     3 | OBJ0557-DET01 |       890.7 |        0.557 |      1.50 |    0.819 |  -2.03 |  0.174 |
|     3 | OBJ0939-DET01 |       936.0 |        0.939 |      1.50 |    3.053 |  18.65 |  0.174 |
