| order |          name | spat_pixpos | spat_fracpos | box_width | opt_fwhm |  s2n |
|     7 | OBJ0484-DET01 |        73.0 |        0.484 |      1.50 |    0.990 | 0.00 |
|     6 | OBJ0484-DET01 |       213.0 |        0.484 |      1.50 |    0.822 | 4.12 |
|     5 | OBJ0484-DET01 |       350.2 |        0.484 |      1.50 |    0.752 | 3.80 |
|     4 | OBJ0484-DET01 |       484.5 |        0.484 |      1.50 |    0.642 | 2.45 |
|     3 | OBJ0484-DET01 |       614.7 |        0.484 |      1.50 |    0.787 | 0.46 |
|     7 | OBJ0207-DET01 |        35.3 |        0.207 |      1.50 |    1.048 | 0.00 |
|     6 | OBJ0207-DET01 |       177.3 |        0.207 |      1.50 |    1.057 | 1.95 |
|     5 | OBJ0207-DET01 |       315.2 |        0.207 |      1.50 |    1.027 | 2.34 |
|     4 | OBJ0207-DET01 |       450.0 |        0.207 |      1.50 |    0.956 | 2.42 |
|     3 | OBJ0207-DET01 |       583.0 |        0.207 |      1.50 |    1.472 | 2.80 |
|     7 | OBJ0767-DET01 |       108.9 |        0.767 |      1.50 |    0.913 | 0.00 |
|     6 | OBJ0767-DET01 |       248.8 |        0.767 |      1.50 |    1.004 | 1.61 |
|     5 | OBJ0767-DET01 |       385.2 |        0.767 |      1.50 |    1.174 | 2.07 |
|     4 | OBJ0767-DET01 |       519.0 |        0.767 |      1.50 |    0.912 | 1.75 |
|     3 | OBJ0767-DET01 |       657.9 |        0.767 |      1.50 |    0.833 | 3.67 |
