| order |          name | spat_pixpos | spat_fracpos | box_width | opt_fwhm |  s2n |
|     7 | OBJ0485-DET01 |        72.0 |        0.485 |      1.50 |    0.978 | 0.00 |
|     6 | OBJ0485-DET01 |       213.2 |        0.485 |      1.50 |    0.874 | 6.23 |
|     5 | OBJ0485-DET01 |       350.2 |        0.485 |      1.50 |    0.786 | 5.79 |
|     4 | OBJ0485-DET01 |       484.4 |        0.485 |      1.50 |    0.718 | 4.29 |
|     3 | OBJ0485-DET01 |       615.6 |        0.485 |      1.50 |    0.830 | 1.14 |
|     7 | OBJ0764-DET01 |       108.2 |        0.764 |      1.50 |    0.949 | 0.00 |
|     6 | OBJ0764-DET01 |       249.0 |        0.764 |      1.50 |    0.875 | 2.53 |
|     5 | OBJ0764-DET01 |       385.2 |        0.764 |      1.50 |    0.807 | 2.92 |
|     4 | OBJ0764-DET01 |       518.8 |        0.764 |      1.50 |    1.159 | 2.73 |
|     3 | OBJ0764-DET01 |       657.6 |        0.764 |      1.50 |    0.964 | 4.03 |
|     7 | OBJ0208-DET01 |        36.8 |        0.208 |      1.50 |    1.039 | 0.00 |
|     6 | OBJ0208-DET01 |       177.6 |        0.208 |      1.50 |    1.030 | 2.29 |
|     5 | OBJ0208-DET01 |       315.5 |        0.208 |      1.50 |    1.016 | 2.45 |
|     4 | OBJ0208-DET01 |       450.1 |        0.208 |      1.50 |    0.948 | 1.89 |
|     3 | OBJ0208-DET01 |       585.5 |        0.208 |      1.50 |    0.830 | 1.42 |
