| slit |                    name | spat_pixpos | spat_fracpos | box_width | opt_fwhm |   s2n | wv_rms |
| 1038 | SPAT0754-SLIT1038-DET01 |       754.0 |        0.059 |      3.00 |   15.316 |  0.47 |  0.061 |
| 1038 | SPAT0769-SLIT1038-DET01 |       769.0 |        0.085 |      3.00 |    3.520 |  0.39 |  0.061 |
| 1038 | SPAT0788-SLIT1038-DET01 |       788.0 |        0.111 |      3.00 |   13.972 |  0.34 |  0.061 |
| 1038 | SPAT0801-SLIT1038-DET01 |       801.2 |        0.133 |      3.00 |   13.925 |  0.27 |  0.061 |
| 1038 | SPAT0818-SLIT1038-DET01 |       817.5 |        0.158 |      3.00 |    1.537 |  0.16 |  0.061 |
| 1038 | SPAT0939-SLIT1038-DET01 |       939.3 |        0.347 |      3.00 |    0.633 |  0.96 |  0.061 |
| 1038 | SPAT0952-SLIT1038-DET01 |       951.9 |        0.368 |      3.00 |    0.997 |  0.45 |  0.061 |
| 1038 | SPAT1122-SLIT1038-DET01 |      1122.4 |        0.632 |      3.00 |    0.656 | 33.93 |  0.061 |
| 1038 | SPAT1141-SLIT1038-DET01 |      1140.9 |        0.660 |      3.00 |    9.683 |  0.58 |  0.061 |
| 1038 | SPAT1264-SLIT1038-DET01 |      1263.8 |        0.854 |      3.00 |    4.133 |  0.24 |  0.061 |
