| slit |                    name | spat_pixpos | spat_fracpos | box_width | opt_fwhm |  s2n | wv_rms |
| 1038 | SPAT0756-SLIT1038-DET01 |       756.5 |        0.082 |      3.00 |    1.779 | 3.33 |  0.061 |
| 1038 | SPAT0939-SLIT1038-DET01 |       938.6 |        0.365 |      3.00 |    1.211 | 2.12 |  0.061 |
| 1038 | SPAT0995-SLIT1038-DET01 |       995.1 |        0.453 |      3.00 |    2.571 | 0.12 |  0.061 |
| 1038 | SPAT1022-SLIT1038-DET01 |      1022.3 |        0.496 |      3.00 |    6.205 | 0.07 |  0.061 |
| 1038 | SPAT1033-SLIT1038-DET01 |      1032.6 |        0.512 |      3.00 |    6.209 | 0.00 |  0.061 |
| 1038 | SPAT1141-SLIT1038-DET01 |      1140.8 |        0.680 |      3.00 |    3.798 | 0.11 |  0.061 |
| 1038 | SPAT1145-SLIT1038-DET01 |      1144.7 |        0.687 |      3.00 |    3.956 | 0.08 |  0.061 |
| 1038 | SPAT1178-SLIT1038-DET01 |      1177.8 |        0.739 |      3.00 |    9.076 | 0.13 |  0.061 |
