| slit |                    name | spat_pixpos | spat_fracpos | box_width | opt_fwhm |   s2n | wv_rms |
| 1038 | SPAT0796-SLIT1038-DET01 |       796.4 |        0.124 |      3.00 |    1.009 | 12.29 |  0.061 |
| 1038 | SPAT0812-SLIT1038-DET01 |       812.0 |        0.150 |      3.00 |    8.877 |  1.94 |  0.061 |
| 1038 | SPAT0819-SLIT1038-DET01 |       818.6 |        0.160 |      3.00 |    8.905 |  1.58 |  0.061 |
| 1038 | SPAT0939-SLIT1038-DET01 |       938.6 |        0.347 |      3.00 |    1.064 |  0.76 |  0.061 |
| 1038 | SPAT1083-SLIT1038-DET01 |      1082.9 |        0.571 |      3.00 |    1.407 |  0.33 |  0.061 |
| 1038 | SPAT1150-SLIT1038-DET01 |      1150.0 |        0.675 |      3.00 |    1.337 |  0.15 |  0.061 |
| 1038 | SPAT1164-SLIT1038-DET01 |      1163.8 |        0.698 |      3.00 |    1.514 |  0.28 |  0.061 |
| 1038 | SPAT1239-SLIT1038-DET01 |      1238.8 |        0.814 |      3.00 |    2.428 |  0.08 |  0.061 |
| 1038 | SPAT1263-SLIT1038-DET01 |      1263.0 |        0.851 |      3.00 |    5.703 |  0.16 |  0.061 |
| 1038 | SPAT1331-SLIT1038-DET01 |      1331.2 |        0.957 |      3.00 |    1.044 |  0.96 |  0.061 |
