| slit |                    name | spat_pixpos | spat_fracpos | box_width | opt_fwhm |   s2n | wv_rms |
| 1038 | SPAT0739-SLIT1038-DET01 |       738.9 |        0.039 |      3.00 |    1.203 |  0.51 |  0.061 |
| 1038 | SPAT0936-SLIT1038-DET01 |       936.5 |        0.346 |      3.00 |    1.126 |  0.70 |  0.061 |
| 1038 | SPAT1005-SLIT1038-DET01 |      1004.6 |        0.451 |      3.00 |    0.803 | 12.40 |  0.061 |
| 1038 | SPAT1219-SLIT1038-DET01 |      1218.9 |        0.785 |      3.00 |    2.320 |  0.20 |  0.061 |
| 1038 | SPAT1235-SLIT1038-DET01 |      1234.9 |        0.811 |      3.00 |   10.730 |  0.27 |  0.061 |
| 1038 | SPAT1260-SLIT1038-DET01 |      1260.3 |        0.850 |      3.00 |    3.797 |  0.34 |  0.061 |
| 1038 | SPAT1269-SLIT1038-DET01 |      1269.3 |        0.864 |      3.00 |   11.537 |  0.39 |  0.061 |
| 1038 | SPAT1285-SLIT1038-DET01 |      1285.2 |        0.888 |      3.00 |    1.380 |  0.19 |  0.061 |
| 1038 | SPAT1339-SLIT1038-DET01 |      1339.2 |        0.973 |      3.00 |    0.615 |  0.39 |  0.061 |
