| order |          name | spat_pixpos | spat_fracpos | box_width | opt_fwhm |  s2n | wv_rms |
|     7 | OBJ0070-DET01 |       178.9 |        0.070 |      1.50 |    0.549 | 0.00 |  0.072 |
|     7 | OBJ0680-DET01 |       256.5 |        0.680 |      1.50 |    0.549 | 0.00 |  0.072 |
|     7 | OBJ0734-DET01 |       261.6 |        0.734 |      1.50 |    0.549 | 0.00 |  0.072 |
|     6 | OBJ0070-DET01 |       360.7 |        0.070 |      1.50 |    0.549 | 0.13 |  0.060 |
|     6 | OBJ0680-DET01 |       439.2 |        0.680 |      1.50 |    0.549 | 1.87 |  0.060 |
|     6 | OBJ0734-DET01 |       445.5 |        0.734 |      1.50 |    0.549 | 0.12 |  0.060 |
|     5 | OBJ0070-DET01 |       520.8 |        0.070 |      1.50 |    0.792 | 0.08 |  0.143 |
|     5 | OBJ0680-DET01 |       596.3 |        0.680 |      1.50 |    0.618 | 3.10 |  0.143 |
|     5 | OBJ0734-DET01 |       602.4 |        0.734 |      1.50 |    0.792 | 0.49 |  0.143 |
|     4 | OBJ0070-DET01 |       667.7 |        0.070 |      1.50 |    3.200 | 0.75 |  0.085 |
|     4 | OBJ0680-DET01 |       741.9 |        0.680 |      1.50 |    0.549 | 5.22 |  0.085 |
|     4 | OBJ0734-DET01 |       741.9 |        0.734 |      1.50 |    0.552 | 5.22 |  0.085 |
|     3 | OBJ0070-DET01 |       833.6 |        0.070 |      1.50 |    0.599 | 0.08 |  0.163 |
|     3 | OBJ0680-DET01 |       906.1 |        0.680 |      1.50 |    0.479 | 5.19 |  0.163 |
|     3 | OBJ0734-DET01 |       906.1 |        0.734 |      1.50 |    0.479 | 5.19 |  0.163 |
