| order |          name | spat_pixpos | spat_fracpos | box_width | opt_fwhm |  s2n | wv_rms |
|     7 | OBJ0326-DET01 |       212.9 |        0.326 |      1.50 |    0.741 | 0.00 |  0.107 |
|     7 | OBJ0350-DET01 |       214.8 |        0.350 |      1.50 |    0.741 | 0.00 |  0.107 |
|     6 | OBJ0326-DET01 |       394.3 |        0.326 |      1.50 |    0.741 | 0.21 |  0.081 |
|     6 | OBJ0350-DET01 |       397.3 |        0.350 |      1.50 |    0.741 | 0.37 |  0.081 |
|     5 | OBJ0326-DET01 |       552.3 |        0.326 |      1.50 |    1.938 | 0.29 |  0.143 |
|     5 | OBJ0350-DET01 |       555.6 |        0.350 |      1.50 |    0.606 | 0.46 |  0.143 |
|     4 | OBJ0326-DET01 |       698.5 |        0.326 |      1.50 |    1.537 | 0.78 |  0.093 |
|     4 | OBJ0350-DET01 |       701.8 |        0.350 |      1.50 |    0.908 | 1.02 |  0.093 |
|     3 | OBJ0326-DET01 |       863.6 |        0.326 |      1.50 |    0.718 | 0.51 |  0.187 |
|     3 | OBJ0350-DET01 |       867.2 |        0.350 |      1.50 |    0.741 | 1.00 |  0.187 |
