| slit |                    name | spat_pixpos | spat_fracpos | box_width | opt_fwhm |   s2n | wv_rms |
| 1038 | SPAT0858-SLIT1038-DET01 |       857.8 |        0.222 |      3.00 |    0.615 |  0.03 |  0.049 |
| 1038 | SPAT0878-SLIT1038-DET01 |       877.7 |        0.252 |      3.00 |    0.926 |  0.09 |  0.049 |
| 1038 | SPAT0910-SLIT1038-DET01 |       909.9 |        0.301 |      3.00 |    3.943 |  0.03 |  0.049 |
| 1038 | SPAT0913-SLIT1038-DET01 |       913.2 |        0.308 |      3.00 |    3.776 | -0.02 |  0.049 |
| 1038 | SPAT0944-SLIT1038-DET01 |       944.3 |        0.357 |      3.00 |    1.266 |  0.16 |  0.049 |
| 1038 | SPAT1014-SLIT1038-DET01 |      1014.0 |        0.465 |      3.00 |    0.851 |  0.03 |  0.049 |
| 1038 | SPAT1173-SLIT1038-DET01 |      1172.6 |        0.712 |      3.00 |    1.141 |  0.08 |  0.049 |
| 1038 | SPAT1245-SLIT1038-DET01 |      1244.9 |        0.824 |      3.00 |    2.150 |  0.02 |  0.049 |
| 1038 | SPAT1258-SLIT1038-DET01 |      1258.2 |        0.846 |      3.00 |    1.254 |  0.08 |  0.049 |
| 1038 | SPAT1336-SLIT1038-DET01 |      1336.3 |        0.967 |      3.00 |    0.615 |  0.06 |  0.049 |
