| slit |                    name | spat_pixpos | spat_fracpos | box_width | opt_fwhm |   s2n |
| 1065 | SPAT0604-SLIT1065-DET01 |       603.7 |        0.281 |      3.00 |   12.813 |  3.49 |
| 1065 | SPAT0630-SLIT1065-DET01 |       629.8 |        0.294 |      3.00 |    1.693 |  4.08 |
| 1065 | SPAT0655-SLIT1065-DET01 |       655.0 |        0.306 |      3.00 |   11.548 |  6.00 |
| 1065 | SPAT0670-SLIT1065-DET01 |       669.6 |        0.313 |      3.00 |    1.081 |  3.88 |
| 1065 | SPAT0876-SLIT1065-DET01 |       875.8 |        0.410 |      3.00 |    0.670 |  7.03 |
| 1065 | SPAT0895-SLIT1065-DET01 |       894.6 |        0.419 |      3.00 |    0.655 | 71.06 |
| 1065 | SPAT1080-SLIT1065-DET01 |      1080.2 |        0.507 |      3.00 |    1.230 |  0.30 |
| 1065 | SPAT1640-SLIT1065-DET01 |      1639.8 |        0.772 |      3.00 |    0.789 |  2.33 |
| 1065 | SPAT1809-SLIT1065-DET01 |      1809.3 |        0.853 |      3.00 |    5.042 |  3.93 |
| 1065 | SPAT1816-SLIT1065-DET01 |      1816.3 |        0.857 |      3.00 |    5.086 |  3.87 |
