| slit |                    name | spat_pixpos | spat_fracpos | box_width | opt_fwhm |   s2n |
| 1021 | SPAT0020-SLIT1021-DET01 |        19.9 |        0.005 |      3.00 |   18.718 |  2.93 |
| 1021 | SPAT0033-SLIT1021-DET01 |        33.1 |        0.012 |      3.00 |   14.799 |  2.83 |
| 1021 | SPAT0049-SLIT1021-DET01 |        49.3 |        0.020 |      3.00 |    8.677 |  3.05 |
| 1021 | SPAT0317-SLIT1021-DET01 |       317.3 |        0.152 |      3.00 |    2.526 |  3.72 |
| 1021 | SPAT0608-SLIT1021-DET01 |       607.8 |        0.296 |      3.00 |    0.973 |  2.20 |
| 1021 | SPAT0695-SLIT1021-DET01 |       694.6 |        0.338 |      3.00 |    4.432 |  1.13 |
| 1021 | SPAT0732-SLIT1021-DET01 |       731.7 |        0.357 |      3.00 |    0.740 | 42.06 |
| 1021 | SPAT0799-SLIT1021-DET01 |       798.9 |        0.390 |      3.00 |    1.480 |  0.61 |
| 1021 | SPAT0964-SLIT1021-DET01 |       964.4 |        0.472 |      3.00 |    0.449 |  1.52 |
| 1021 | SPAT1534-SLIT1021-DET01 |      1533.8 |        0.754 |      3.00 |    1.813 |  3.87 |
