| slit |                    name | spat_pixpos | spat_fracpos | box_width | opt_fwhm |   s2n |
| 1064 | SPAT1080-SLIT1064-DET01 |      1079.6 |        0.507 |      3.00 |    0.879 |  0.14 |
| 1064 | SPAT1357-SLIT1064-DET01 |      1357.3 |        0.639 |      3.00 |    0.894 | 23.02 |
| 1064 | SPAT1478-SLIT1064-DET01 |      1478.1 |        0.696 |      3.00 |    0.769 |  0.13 |
| 1064 | SPAT1540-SLIT1064-DET01 |      1539.8 |        0.725 |      3.00 |   11.545 |  0.62 |
| 1064 | SPAT1553-SLIT1064-DET01 |      1552.7 |        0.732 |      3.00 |   11.441 |  0.68 |
| 1064 | SPAT1569-SLIT1064-DET01 |      1569.1 |        0.739 |      3.00 |   11.773 |  0.67 |
| 1064 | SPAT1576-SLIT1064-DET01 |      1576.2 |        0.743 |      3.00 |   11.350 |  0.62 |
| 1064 | SPAT1577-SLIT1064-DET01 |      1577.1 |        0.743 |      3.00 |   11.399 |  0.65 |
