| slit |                    name | spat_pixpos | spat_fracpos | box_width | opt_fwhm |   s2n |
| 1052 | SPAT0095-SLIT1052-DET01 |        94.9 |        0.041 |      3.00 |    0.598 |  2.79 |
| 1052 | SPAT0160-SLIT1052-DET01 |       160.2 |        0.072 |      3.00 |    0.663 | 83.00 |
| 1052 | SPAT0522-SLIT1052-DET01 |       522.2 |        0.246 |      3.00 |    3.932 |  0.73 |
| 1052 | SPAT0766-SLIT1052-DET01 |       766.4 |        0.363 |      3.00 |    1.207 |  0.60 |
| 1052 | SPAT0907-SLIT1052-DET01 |       907.3 |        0.431 |      3.00 |    0.606 | 87.49 |
| 1052 | SPAT0953-SLIT1052-DET01 |       952.7 |        0.453 |      3.00 |    0.972 |  0.88 |
| 1052 | SPAT1067-SLIT1052-DET01 |      1066.6 |        0.507 |      3.00 |    0.879 |  0.68 |
| 1052 | SPAT1581-SLIT1052-DET01 |      1581.2 |        0.754 |      3.00 |    1.337 |  2.07 |
| 1052 | SPAT1682-SLIT1052-DET01 |      1682.4 |        0.803 |      3.00 |    5.414 |  1.41 |
| 1052 | SPAT1692-SLIT1052-DET01 |      1691.8 |        0.807 |      3.00 |    5.358 |  1.63 |
