| slit |                    name | spat_pixpos | spat_fracpos | box_width | opt_fwhm |  s2n |
| 1044 | SPAT0796-SLIT1044-DET01 |       795.9 |        0.380 |      3.00 |    0.470 | 3.44 |
| 1044 | SPAT0830-SLIT1044-DET01 |       830.1 |        0.397 |      3.00 |    1.159 | 0.07 |
| 1044 | SPAT0855-SLIT1044-DET01 |       855.3 |        0.409 |      3.00 |    3.831 | 0.00 |
| 1044 | SPAT0860-SLIT1044-DET01 |       860.3 |        0.411 |      3.00 |    3.791 | 0.19 |
| 1044 | SPAT0886-SLIT1044-DET01 |       886.0 |        0.424 |      3.00 |    0.603 | 0.00 |
| 1044 | SPAT0978-SLIT1044-DET01 |       977.9 |        0.468 |      3.00 |    3.442 | 0.02 |
| 1044 | SPAT1001-SLIT1044-DET01 |      1000.5 |        0.479 |      3.00 |    1.145 | 0.01 |
| 1044 | SPAT1058-SLIT1044-DET01 |      1058.4 |        0.507 |      3.00 |    0.681 | 0.27 |
| 1044 | SPAT1089-SLIT1044-DET01 |      1089.3 |        0.522 |      3.00 |    2.674 | 0.17 |
| 1044 | SPAT1094-SLIT1044-DET01 |      1094.1 |        0.524 |      3.00 |    2.701 | 0.19 |
| 1044 | SPAT1113-SLIT1044-DET01 |      1113.1 |        0.534 |      3.00 |    3.646 | 0.20 |
| 1044 | SPAT1121-SLIT1044-DET01 |      1121.2 |        0.538 |      3.00 |    3.571 | 0.18 |
| 1044 | SPAT1138-SLIT1044-DET01 |      1137.6 |        0.546 |      3.00 |    0.449 | 0.02 |
| 1044 | SPAT1152-SLIT1044-DET01 |      1151.8 |        0.552 |      3.00 |    0.979 | 0.07 |
| 1044 | SPAT1201-SLIT1044-DET01 |      1200.8 |        0.576 |      3.00 |    1.371 | 0.15 |
| 1044 | SPAT1230-SLIT1044-DET01 |      1230.1 |        0.590 |      3.00 |    0.493 | 8.29 |
| 1044 | SPAT1256-SLIT1044-DET01 |      1256.1 |        0.603 |      3.00 |    0.817 | 0.57 |
| 1044 | SPAT1292-SLIT1044-DET01 |      1291.8 |        0.620 |      3.00 |    2.314 | 0.34 |
| 1044 | SPAT1306-SLIT1044-DET01 |      1306.5 |        0.627 |      3.00 |    3.585 | 0.18 |
| 1044 | SPAT1317-SLIT1044-DET01 |      1316.9 |        0.632 |      3.00 |    1.917 | 0.21 |
