| slit |                    name | spat_pixpos | spat_fracpos | box_width | opt_fwhm |   s2n |
| 1035 | SPAT0862-SLIT1035-DET01 |       862.2 |        0.416 |      3.00 |   11.162 |  0.54 |
| 1035 | SPAT0882-SLIT1035-DET01 |       881.9 |        0.425 |      3.00 |   10.936 |  1.50 |
| 1035 | SPAT0908-SLIT1035-DET01 |       908.2 |        0.438 |      3.00 |   11.064 |  1.30 |
| 1035 | SPAT1050-SLIT1035-DET01 |      1050.1 |        0.508 |      3.00 |    0.823 |  1.35 |
| 1035 | SPAT1181-SLIT1035-DET01 |      1180.6 |        0.571 |      3.00 |    0.565 | 31.55 |
| 1035 | SPAT1402-SLIT1035-DET01 |      1402.3 |        0.679 |      3.00 |    1.402 |  1.10 |
| 1035 | SPAT1570-SLIT1035-DET01 |      1569.9 |        0.761 |      3.00 |   22.666 |  1.04 |
| 1035 | SPAT1593-SLIT1035-DET01 |      1592.7 |        0.772 |      3.00 |   22.736 |  1.65 |
| 1035 | SPAT1638-SLIT1035-DET01 |      1638.4 |        0.794 |      3.00 |   22.421 |  1.69 |
| 1035 | SPAT1679-SLIT1035-DET01 |      1678.6 |        0.814 |      3.00 |   22.569 |  1.28 |
