| slit |                    name | spat_pixpos | spat_fracpos | box_width | opt_fwhm |  s2n |
| 1044 | SPAT0186-SLIT1044-DET01 |       185.8 |        0.086 |      3.00 |    4.251 | 3.27 |
| 1044 | SPAT0200-SLIT1044-DET01 |       199.8 |        0.091 |      3.00 |    4.414 | 3.19 |
| 1044 | SPAT0640-SLIT1044-DET01 |       640.1 |        0.305 |      3.00 |    8.089 | 1.09 |
| 1044 | SPAT0652-SLIT1044-DET01 |       652.1 |        0.311 |      3.00 |    8.079 | 1.59 |
| 1044 | SPAT0668-SLIT1044-DET01 |       668.0 |        0.318 |      3.00 |    8.039 | 1.58 |
| 1044 | SPAT0674-SLIT1044-DET01 |       674.0 |        0.321 |      3.00 |    7.937 | 1.26 |
| 1044 | SPAT1045-SLIT1044-DET01 |      1045.2 |        0.501 |      3.00 |    1.846 | 0.43 |
| 1044 | SPAT1116-SLIT1044-DET01 |      1116.3 |        0.535 |      3.00 |    5.483 | 1.87 |
| 1044 | SPAT1132-SLIT1044-DET01 |      1131.7 |        0.543 |      3.00 |    0.832 | 4.26 |
| 1044 | SPAT1209-SLIT1044-DET01 |      1209.0 |        0.580 |      3.00 |    0.829 | 2.11 |
