#         Lambda    Transmission
          12662.5996            0.509102
          12667.4004            0.507491
          12672.2998            0.505880
          12677.0996            0.504268
          12682.0000            0.503056
          12686.8008            0.502433
          12691.6006            0.501720
          12696.5000            0.500833
          12701.2998            0.500105
          12706.2002            0.499801
          12711.0000            0.499552
          12715.7998            0.499509
          12720.6992            0.499448
          12725.5000            0.499272
          12730.4004            0.499096
          12735.2002            0.498920
          12740.0000            0.498744
          12744.9004            0.498512
          12749.6992            0.498279
          12754.5996            0.497801
          12759.3994            0.497307
          12764.2002            0.496531
          12769.1006            0.495713
          12773.9004            0.494896
          12778.7998            0.494079
          12783.5996            0.494123
          12788.3994            0.494464
          12793.2998            0.494630
          12798.1006            0.494714
          12803.0000            0.495512
          12807.8008            0.496766
          12812.5996            0.498161
          12817.5000            0.499676
          12822.2998            0.501124
          12827.1992            0.502499
          12832.0000            0.503873
          12836.8008            0.505248
          12841.7002            0.506432
          12846.5000            0.507254
          12851.4004            0.508002
          12856.2002            0.508561
          12861.0000            0.509082
          12865.8994            0.509465
          12870.6992            0.509810
          12875.6006            0.509928
          12880.4004            0.510160
          12885.2002            0.511640
          12890.0996            0.513125
          12894.9004            0.514874
          12899.7998            0.516624
          12904.5996            0.519250
          12909.3994            0.521922
          12914.3008            0.524595
          12919.1006            0.527269
          12924.0000            0.529180
          12928.7998            0.530924
          12933.5996            0.532462
          12938.5000            0.533931
          12943.2998            0.534361
          12948.1992            0.534315
          12953.0000            0.534441
          12957.8008            0.534672
          12962.7002            0.535904
          12967.5000            0.537941
          12972.4004            0.539979
          12977.1992            0.542018
          12982.0000            0.544523
          12986.8994            0.547669
          12991.7002            0.550719
          12996.6006            0.553586
          13001.4004            0.555773
          13006.2002            0.556287
          13011.0996            0.556865
          13015.8994            0.557668
          13020.7998            0.558390
          13025.6006            0.558678
          13030.4004            0.558966
          13035.3008            0.559254
          13040.0996            0.559612
          13045.0000            0.562709
          13049.7998            0.565810
          13054.5996            0.568633
          13059.5000            0.571444
          13064.3008            0.572933
          13069.2002            0.574262
          13074.0000            0.575592
          13078.7998            0.576922
          13083.7002            0.576556
          13088.5000            0.575654
          13093.3994            0.574544
          13098.1992            0.573344
          13103.0000            0.573872
          13107.9004            0.575425
          13112.7002            0.577145
          13117.5996            0.578997
          13122.4004            0.580806
          13127.1992            0.582569
          13132.0996            0.584333
          13136.8994            0.586097
          13141.8008            0.586669
          13146.6006            0.585156
          13151.4004            0.583552
          13156.2998            0.581735
          13161.0996            0.580111
          13166.0000            0.579127
          13170.7998            0.578193
          13175.6006            0.577506
          13180.5000            0.577001
          13185.3008            0.578165
          13190.2002            0.579329
          13195.0000            0.580492
          13199.7998            0.581657
          13204.6992            0.578906
          13209.5000            0.576022
          13214.3994            0.573403
          13219.2002            0.570810
          13224.0000            0.566576
          13228.9004            0.562016
          13233.7002            0.557456
          13238.5996            0.552895
          13243.3994            0.550148
          13248.1992            0.548166
          13253.1006            0.546003
          13257.9004            0.543738
          13262.8008            0.539405
          13267.5996            0.533513
          13272.4004            0.527757
          13277.2998            0.522131
          13282.0996            0.515098
          13287.0000            0.506267
          13291.8008            0.497436
          13296.6006            0.488603
          13301.5000            0.480257
          13306.2998            0.473018
          13311.2002            0.465835
          13316.0000            0.458828
          13320.7998            0.451064
          13325.6992            0.439728
          13330.5000            0.428391
          13335.4004            0.417053
          13340.2002            0.405688
          13345.0000            0.393732
          13349.9004            0.381762
          13354.6992            0.369594
          13359.5996            0.357420
          13364.3994            0.346887
          13369.2002            0.336517
          13374.1006            0.326287
          13378.9004            0.316071
          13383.7998            0.304030
          13388.5996            0.291466
          13393.3994            0.278900
          13398.2998            0.266332
          13403.1006            0.255354
          13408.0000            0.245242
          13412.8008            0.235050
          13417.5996            0.224804
          13422.5000            0.214857
          13427.2998            0.205197
          13432.1992            0.195579
          13437.0000            0.186009
          13441.8008            0.176732
          13446.7002            0.167948
          13451.5000            0.159188
          13456.4004            0.150477
          13461.2002            0.142250
          13466.0000            0.135519
          13470.8994            0.128786
          13475.6992            0.122053
          13480.6006            0.115425
          13485.4004            0.109602
          13490.2002            0.103770
          13495.0996            0.097885
          13499.9004            0.091998
          13504.7998            0.087725
          13509.5996            0.083465
          13514.3994            0.079229
          13519.3008            0.074978
          13524.1006            0.071284
          13529.0000            0.067677
          13533.7998            0.064085
          13538.5996            0.060484
          13543.5000            0.057118
          13548.2998            0.053838
          13553.1992            0.050548
          13558.0000            0.047247
          13562.8008            0.044730
          13567.7002            0.042762
          13572.5000            0.040776
          13577.4004            0.038772
          13582.1992            0.036807
          13587.0000            0.034888
          13591.8994            0.032954
          13596.7002            0.031004
          13601.6006            0.029235
          13606.4004            0.027859
          13611.2002            0.026485
          13616.0996            0.025119
          13620.8994            0.023808
          13625.7998            0.022735
          13630.6006            0.021663
          13635.4004            0.020598
          13640.3008            0.019529
          13645.0996            0.018399
          13650.0000            0.017269
          13654.7998            0.016138
          13659.5996            0.015006
          13664.5000            0.014519
          13669.3008            0.014083
          13674.2002            0.013641
          13679.0000            0.013197
          13683.7998            0.012654
          13688.7002            0.012084
          13693.5000            0.011508
          13698.3994            0.010931
          13703.1992            0.010402
          13708.0000            0.009898
          13712.9004            0.009396
          13717.7002            0.008896
          13722.5996            0.008459
          13727.4004            0.008078
          13732.1992            0.007698
          13737.0996            0.007320
          13741.8994            0.007012
          13746.8008            0.006810
          13751.6006            0.006608
          13756.4004            0.006405
          13761.2998            0.006217
          13766.0996            0.006069
          13771.0000            0.005920
          13775.7998            0.005768
          13780.6006            0.005585
          13785.5000            0.005196
          13790.3008            0.004807
          13795.2002            0.004807
