| slit |                    name | spat_pixpos | spat_fracpos | box_width | opt_fwhm |   s2n |
|  343 | SPAT0016-SLIT0343-DET01 |        16.4 |        0.008 |      3.00 |    0.352 |  6.55 |
|  343 | SPAT0101-SLIT0343-DET01 |       101.3 |        0.136 |      3.00 |    1.094 | 78.02 |
|  343 | SPAT0201-SLIT0343-DET01 |       201.1 |        0.286 |      3.00 |    1.170 |  1.65 |
|  343 | SPAT0293-SLIT0343-DET01 |       292.6 |        0.423 |      3.00 |    1.063 |  0.90 |
|  343 | SPAT0422-SLIT0343-DET01 |       421.6 |        0.617 |      3.00 |    1.999 |  1.49 |
|  343 | SPAT0447-SLIT0343-DET01 |       447.3 |        0.657 |      3.00 |   18.280 |  0.74 |
|  343 | SPAT0449-SLIT0343-DET01 |       449.1 |        0.659 |      3.00 |   18.130 |  0.72 |
|  343 | SPAT0552-SLIT0343-DET01 |       552.2 |        0.814 |      3.00 |   10.163 |  0.70 |
|  343 | SPAT0569-SLIT0343-DET01 |       569.2 |        0.840 |      3.00 |    8.459 |  0.81 |
|  343 | SPAT0658-SLIT0343-DET01 |       657.6 |        0.975 |      3.00 |    1.349 |  0.88 |
