| slit |                    name | spat_pixpos | spat_fracpos | box_width | opt_fwhm |   s2n |
|  340 | SPAT0114-SLIT0340-DET01 |       114.3 |        0.156 |      3.00 |    1.052 | 15.11 |
|  340 | SPAT0182-SLIT0340-DET01 |       182.0 |        0.260 |      3.00 |    2.075 |  0.15 |
|  340 | SPAT0250-SLIT0340-DET01 |       250.5 |        0.363 |      3.00 |    0.615 |  0.23 |
|  340 | SPAT0327-SLIT0340-DET01 |       327.1 |        0.479 |      3.00 |    2.497 |  0.22 |
|  340 | SPAT0407-SLIT0340-DET01 |       407.5 |        0.601 |      3.00 |    1.898 |  0.05 |
|  340 | SPAT0459-SLIT0340-DET01 |       458.5 |        0.679 |      3.00 |    7.189 |  0.28 |
|  340 | SPAT0475-SLIT0340-DET01 |       474.7 |        0.703 |      3.00 |    8.141 |  0.11 |
|  340 | SPAT0550-SLIT0340-DET01 |       550.2 |        0.817 |      3.00 |    1.914 |  0.16 |
|  340 | SPAT0573-SLIT0340-DET01 |       572.7 |        0.851 |      3.00 |    4.507 |  0.25 |
|  340 | SPAT0586-SLIT0340-DET01 |       586.5 |        0.873 |      3.00 |    0.959 |  0.35 |
