name,ra,dec,JAB,label,spectral type,redshift,source,note,run,flux_z,flux_ivar_z,flux_w1,flux_ivar_w1,flux_w2,flux_ivar_w2,j_err,y_err,h_err,k_err,YAB,HAB,KAB
J0813+2219,123.4995,22.3187,21.04,uNQ,,,JY & FW,,mosfire-2010,,,,,,,0.15277952,-1.0,-1.0,0.20533207,-1.0,-1.0,20.35
J0822+5045,125.6844,50.7631,-1.0,uNQ,,,EB,might need LRIS reobs; unlikely since it should look brighter (JAB=19.75),mosfire-2010,1.459275,54.997772,10.271758,3.267054,10.940734,0.804829,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0
J0826+1217,126.5086,12.2947,-1.0,uNQ,,,JY & FW,,mosfire-2010,,,,,,,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0
J0845+3033,131.2871,30.5507,-1.0,uNQ,,,JY & FW,,mosfire-2010,,,,,,,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0
J0851+4358,132.8213,43.9709,-1.0,failed,,,JY & FW,no trace,mosfire-2010,,,,,,,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0
J0637+3812,99.3565,38.2139,-1.0,uNQ,,,FW,,mosfire-2201,,,,,,,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0
J0730+5949,112.5323,59.818,-1.0,failed,,,FW,no trace,mosfire-2201,,,,,,,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0
J0838-0112,129.5247,-1.2046,20.58,uNQ,,,RN,,mosfire-2201,1.105807,222.84793,5.155072,3.0102,5.068529,0.680275,0.1420419,0.13085806,0.15399511,0.11923252,21.43,20.52,20.4
J0847+0139,131.97,1.6563,20.51,uNQ,,,RN,,mosfire-2201,1.022727,71.00618,7.978959,2.879589,4.814451,0.676445,0.1424694,0.20206387,0.16485995,0.11847118,21.83,20.96,20.47
J0938+1341,144.7297,13.6956,-1.0,uNQ,,,FW,,mosfire-2201,1.999423,49.85961,9.894641,2.494385,8.36933,0.581792,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0
J1024-0037,156.2024,-0.6267,20.74,failed,,,RN,fall on a bright stripe; the trace itself is very faint,mosfire-2201,0.648583,126.49676,9.535867,3.021209,5.67176,0.640158,0.18738572,0.07407546,-1.0,-1.0,19.8,-1.0,-1.0
J1506+3316,226.7225,33.2788,-1.0,failed,,,FW,two traces at the position of the target,mosfire-2201,,,,,,,-1.0,0.04051647,-1.0,-1.0,19.28,-1.0,-1.0
J0841+3814,130.4087,38.2356,-1.0,FeLoBAL,,,EB,in J2,mosfire-2204,,,,,,,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0
J1150-0143,177.7019,-1.7189,21.16,uNQ,,,RN,,mosfire-2204,,,,,,,0.14447568,-1.0,0.23062594,0.17584875,-1.0,21.17,20.75
J1202+0129,180.6675,1.4847,21.52,uNQ,,,RN,,mosfire-2204,,,,,,,0.15868029,0.25349957,0.2908166,0.16363573,22.01,21.94,20.81
J1315+1533,198.9532,15.5656,19.92,uNQ,,,RN,,mosfire-2204,3.065723,73.58941,8.322161,3.574547,9.468637,0.773391,0.055443235,0.09027856,0.11210646,0.107232496,20.58,19.86,19.74
J1318+2932,199.6751,29.5497,20.1,uNQ,,,RN,,mosfire-2204,1.224165,107.40244,10.348151,3.575341,12.43489,0.824614,0.12279851,0.12134496,0.17987667,0.18896173,20.43,20.22,20.15
J1332+0150,203.2356,1.842,21.76,uNQ,,,RN,,mosfire-2204,,,,,,,0.19587034,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0
J1333+0919,203.4055,9.3275,20.99,uNQ,,,RN,,mosfire-2204,0.897633,118.259705,4.553355,3.278962,5.463988,0.688082,0.14572392,0.081112266,0.13468567,0.14771761,19.97,20.5,20.28
J1424+2527,216.2031,25.464,-1.0,failed,,,FW,trace very faint; unlikely to be quasar,mosfire-2204,,,,,,,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0
J1511+0344,227.943,3.735,20.37,uNQ,,,RN,,mosfire-2204,1.115397,39.03501,13.222395,2.98232,12.390271,0.701506,0.13500802,0.13712442,-1.0,-1.0,20.57,-1.0,-1.0
J0739+4843,114.9604,48.7208,-1.0,failed,,,,multiple traces,nires-1903,,,,,,,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0
J0744+1536,116.1208,15.6019,-1.0,failed,,,,very faint,nires-1903,0.611711,106.29799,11.903496,2.64449,13.563763,0.616315,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0
J0756+5744,119.1214,57.7411,-1.0,uNQ,,,,,nires-1903,,,,,,,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0
J0800+5128,120.1225,51.48,-1.0,failed,,,,multiple traces,nires-1903,,,,,,,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0
J0800+3034,120.1499,30.5719,-1.0,uNQ,,,,red end saturated,nires-1903,1.001087,57.811127,14.448184,2.578392,16.692629,0.582713,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0
J0803+0030,120.9272,0.5097,-1.0,star,L3,,,,nires-1903,,,,,,,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0
J0816+1622,124.0367,16.3805,-1.0,star,L8,,,,nires-1903,1.103082,144.55206,10.62341,2.730608,10.680384,0.618585,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0
J0953-0853,148.3353,-8.8933,-1.0,star,L6,,,,nires-1903,0.901623,61.821655,8.166947,3.214017,4.106999,0.706402,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0
J1217+3136,184.4048,31.6055,-1.0,star,L,,,,nires-1903,1.111451,101.863655,5.756838,3.941124,8.401876,0.878368,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0
J1312+5707,198.1211,57.1283,-1.0,star,T,,,,nires-1903,0.930445,47.49712,10.044986,4.990709,10.020988,1.312879,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0
J1423+2901,215.7862,29.0268,-1.0,star,L3,,,uNQ in lris-2204,nires-1903,,,,,,,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0
J1546+2945,236.5652,29.7537,-1.0,star,L3,,,,nires-1903,1.917479,91.72609,30.053965,3.549263,22.99146,1.013499,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0
J1550+2558,237.7417,25.9781,20.56,star,L3,,,,nires-1903,1.030851,97.70331,11.101354,4.27001,8.165456,1.104417,0.12117161,-1.0,0.18693686,0.15588361,-1.0,20.38,20.02
J1635+5940,248.7858,59.6788,-1.0,star,L3,,,uNQ in lris-2204,nires-1903,1.562838,39.482506,22.160854,5.347517,23.374502,1.736348,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0
J1638+5412,249.6888,54.2155,-1.0,star,L3,,,,nires-1903,0.919173,95.74544,9.662273,7.020185,7.002332,2.265966,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0
J1007+2115,151.9928,21.2581,-1.0,QSO,,7.52,known quasar,,nires-1905,,,,,,,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0
J1432+5746,218.0083,57.7711,-1.0,uNQ,,,,,nires-1905,,,,,,,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0
J1450+3302,222.6583,33.0376,-1.0,star,L3,,,,nires-1905,,,,,,,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0
J1458+6300,224.7333,63.0082,-1.0,star,M8,,,,nires-1905,2.308173,104.06728,3.01015,7.56527,3.493021,2.210564,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0
J1539-0203,234.8333,-2.0578,21.2,failed,,,,no trace,nires-1905,,,,,,,0.13047735,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0
J1557+0140,239.3792,1.6786,-1.0,failed,,,,no trace,nires-1905,,,,,,,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0
J1635+1758,248.9,17.9797,-1.0,uNQ,,,,,nires-1905,1.045166,40.341568,12.791059,3.673843,13.202084,0.896452,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0
