name,ra,dec,JAB,label,spectral type,redshift,source,note,run,flux_z,flux_ivar_z,flux_w1,flux_ivar_w1,flux_w2,flux_ivar_w2,j_err,y_err,h_err,k_err,YAB,HAB,KAB
J1250+0347,192.6192,3.7842,21.49,uNQ,,,RN,,lris-2203,1.862873,89.17886,5.260812,2.860529,4.618595,0.619037,0.15392312,0.1945302,-1.0,0.18824388,21.84,-1.0,20.95
J1319+0101,199.8647,1.0323,21.41,QSO,,5.7,RN,,lris-2203,3.137484,101.494385,2.101399,3.136039,2.351107,0.642746,0.1496667,0.14913298,0.2180638,0.21016821,21.19,21.57,21.18
J1327-0207,201.8314,-2.1207,21.41,uNQ,,,RN,,lris-2203,0.752816,140.65482,4.308279,3.213608,4.889345,0.704098,0.14130218,0.162922,0.19435187,0.19346695,21.67,21.36,20.88
J1335+0103,203.768,1.0655,21.19,star,M4.5,,RN,,lris-2203,1.795286,68.50466,2.406276,3.205207,3.450262,0.6728,0.11601814,0.19019376,-1.0,-1.0,20.96,-1.0,-1.0
J1355-0044,208.7694,-0.739,21.17,uNQ,,,RN,,lris-2203,2.266153,71.52255,6.998609,3.025649,5.730826,0.684378,0.11117938,0.1024614,0.21608302,0.10677431,21.22,20.78,20.29
J1355-0111,208.9151,-1.1915,21.53,uNQ,,,RN,,lris-2203,0.732903,87.66702,3.631814,3.2077,6.829308,0.684363,0.14426897,0.14793992,0.19858459,0.17621839,21.63,21.2,20.92
J1356+0050,209.1527,0.8444,21.53,uNQ,,,RN,,lris-2203,0.892317,129.65019,1.094533,3.242626,-0.733516,0.715056,0.18184632,0.14812113,-1.0,-1.0,21.49,-1.0,-1.0
J1358-0118,209.6825,-1.3059,20.54,star,M9,,RN,,lris-2203,2.564613,60.069283,5.721922,3.170753,6.812776,0.677349,0.13702647,0.075544804,0.14892162,0.116958916,20.89,20.34,20.49
J1412-2757,213.0457,-27.9584,-1.0,star,M6,,EB,,lris-2203,,,,,,,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0
J1422+0307,215.6111,3.1317,21.19,star,M9,,RN,,lris-2203,1.788811,66.36876,6.380488,3.315255,7.87498,0.674036,0.14171338,0.11594809,0.1806228,0.20191999,21.34,20.91,20.86
J1425+0004,216.3505,0.0715,20.96,star,M8,,RN,,lris-2203,2.125,82.92578,6.440808,3.081871,8.074501,0.677646,0.104143426,0.08912851,-1.0,0.18753591,21.26,-1.0,20.82
J1427+0202,216.9523,2.0409,21.72,uNQ,,,RN,coadd2d; low S/N but unlikely to be qso,lris-2203,,,,,,,0.18635939,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0
