name,ra,dec,JAB,label,source,note
J143440.038+024041.375,218.6668256,2.6781596,21.478136,M8,RN,
J143717.365-015138.421,219.3223548,-1.8606724,21.685091,problematic,RN,bright star; might need to turn off local sky subtraction? not quasar from 2d
J143853.869-010325.407,219.7244524,-1.0570574,20.842762,unknown,RN,71-72 wrong PA (don't use)
J144153.799+014903.267,220.4741627,1.8175742,21.26101,unknown,RN,
J145001.337+022819.884,222.505571,2.4721901,21.626286,unknown,RN,bright star; might need to turn off local sky subtraction? not quasar from 2d
J150838.683-010943.751,227.1611779,-1.162153,21.616322,unknown,RN,
J151304.074-005901.263,228.2669735,-0.9836841,20.833979,M7,RN,
J152330.67+293539.67,230.877792,29.594353,20.2,qso,AG,z~5.7
J153208.884-015507.110,233.0370173,-1.9186418,21.066138,M8,RN,didn't apply offset
J153546.82+614559.40 ,233.945083,61.7665,21.5,unknown,AG,"I wonder what this source could be, spectrum shape looks abnormal"
J162559.817+241418.659,246.4992391,24.2385165,20.993569,unknown,RN,
J163508.59+594043.65,248.785771,59.678791,20.8,unknown,FW,
J221232.81+204009.10 ,333.136692,20.669195,20.3,unknown,FW,"No trace at slit-B position. We checked alignment carefully via both reversing  offsets and capturing the guider image, which is in the data directory at lrisslit_144922_139.fits"
MOSFIRE-1911,,,,,,
J000730.709+251713.234,1.8779542,25.2870094,20.5,problematic,,cannot identify the target
J002234.276-071302.995,5.6428167,-7.2174986,21.57,problematic,,affected by the acq box
J003803.780-065322.870,9.5157583,-6.8896872,-1,qso,known qso,z~7.1; interesting that it's actually hard to tell from the 1d and 2d
J005815.734+171519.008,14.5655583,17.25528,-1,unknown,,
J020857.883+174943.900,32.2411792,17.8288611,-1,unknown,,
J023936.720-102617.910,39.9029917,-10.4383086,-1,problematic,,"sky subtraction fails, probably due to wrong tilt solution"
J025141.782+143646.762,42.9240917,14.6129894,20.5,problematic,,only took imaging data
J031343.840-180636.400,48.4326625,-18.1101122,-1,qso,known qso,z~7.64
J042656.482+022153.670,66.7353417,2.3649083,-1,inconclusive,,~9750A
J042724.768+032738.667,66.8532,3.4607408,-1,problematic,,might be wrong position according to obs note
J212843.312+223119.520,322.1804667,22.5220889,20.6,problematic,,skip because bad weather according to obs note
J213232.142-143431.714,323.133925,-14.5754761,20.95,unknown,,
J214037.157+160813.336,325.1548208,16.1370378,20.6,problematic,,no trace
J224526.980+270904.200,341.3624167,27.1511667,20.5,problematic,,no trace
J224742.298+324701.386,341.9262417,32.7837183,20.6,problematic,,no trace
J225012.242-085943.299,342.5510083,-8.9953608,20.9,problematic,,there are traces but might not be the target
J225857.342-154001.697,344.738925,-15.6671381,20.6,unknown,,
J231202.792+321525.516,348.0116333,32.2570878,20.9,unknown,,
J232858.285+275511.689,352.2428542,27.9199136,21,problematic,,there are traces but might not be the target
J233316.250-145635.959,353.3177083,-14.9433219,20.9,problematic,,there are traces but might not be the target
J235202.615+265510.350,358.0108958,26.9195417,20,problematic,,reduction fail; no target in imaging
MOSFIRE-2005,,,,,,
J105606.787+461329.140,164.0282792    ,46.2247611,20.7,problematic,,no trace
J110006.370+521531.846,165.0265417    ,52.2588461,20.5,problematic,,no trace
J114125.452+282215.573,175.3560500   , 28.3709925,20.3,problematic,,no trace
J131118.814+593230.709,197.8283917    ,59.5418636,20.7,unknown,,
J134208.101+092838.542,205.5337542    ,9.4773728,20.6,qso,known quasar,z~7.54
J141053.121+392725.148,212.7213375    ,39.4569856,20.1,problematic,,no trace
J151736.713+284609.093,229.4029708   , 28.7691925,20.7,problematic,,no trace
J151751.531+255109.865,229.4647125    ,25.8527403,20.7,problematic,,no trace        
J152631.860+284832.052,231.6327500    ,28.8089033,20.6,problematic,,no trace        
J160032.357+312740.067,240.1348208    ,31.4611297,20.2,unknown,,
J162657.641+133747.713,246.7401708    ,13.6299203,20.8,inconclusive,,LRIS target?
J164241.028+273106.010,250.6709500    ,27.5183361,20.6,problematic,,trace is barely visible
J212939.088+060113.500,322.4128667    ,6.0204167,20.8,problematic,,no trace
J213300.864+060520.676,323.2536000    ,6.0890767,20.1,problematic,,no trace
J221232.806+204009.101,333.136692,20.669195,20.5,problematic,,no trace; but we have the obs of this target in other runs
MOSFIRE-2010,,,,,,
J203320.964-042828.005,308.337349,-4.4744457,20.70,problematic,JY & FW,fall on a bright stripe
J210508.229-004933.474,316.284286,-0.825965,20.86,unknown,JY & FW,
