offset,JAB,ra,dec,objframe,skyframe,flag,note
J2359+1230,19.490526,359.9768843,12.5013373,17114,17049,1,Riccardo
J2359+1445,20.311268,359.9263155,14.7571333,18488,18423,1,Riccardo
J0252-0503,20.200000,43.0693952,-5.0588646,19201,19148,3,Quasar
J0000+0239,19.632197,0.1353953,2.6572649,19778,19724,1,Riccardo
J0111+0756,20.549113,17.7567913,7.9450597,20376,20322,1,Riccardo (edge)
J0200+1122,20.476431,30.218802,11.3742084,21555,21500,1,Riccardo (close to moon)
J2359+0111,19.754957,359.9890447,1.1975388,22429,22375,1,Riccardo
J0637+3812,20.481590,99.356503,38.2139085,33151,33113,2,UHS (edge)
J0730+5949,20.501684,112.5323242,59.8180102,35413,35357,2,UHS
J0736+2311,20.582403,114.1863268,23.189807,38304,38248,1,Riccardo (extended? also not in obs plan)
J0838-0112,20.584364,129.5247128,-1.2045518,38931,38877,1,Riccardo
J0847+0139,20.507427,131.9700407,1.6562545,41136,41081,1,Riccardo
J0854+2908,20.714490,133.6171092,29.1425288,44109,44055,1,Riccardo
J0938+1341,19.297581,144.7297448,13.6955934,46251,46197,2,UHS
J0950+1151,20.544895,147.6642335,11.8519036,49279,49235,1,Riccardo
J1024-0037,20.744416,156.2023712,-0.6266617,49983,49929,1,Riccardo
J1414+3240,20.285935,213.6884071,32.6810268,51500,51457,2,UHS (edge)
J1506+3316,20.425410,226.7225136,33.2788462,55745,55703,2,UHS
