| slit |                    name | spat_pixpos | spat_fracpos | box_width | opt_fwhm |   s2n |
| 1088 | SPAT0834-SLIT1088-DET01 |       834.1 |        0.383 |      3.00 |    0.449 |  0.00 |
| 1088 | SPAT0885-SLIT1088-DET01 |       884.8 |        0.406 |      3.00 |    3.526 |  0.00 |
| 1088 | SPAT0892-SLIT1088-DET01 |       892.1 |        0.409 |      3.00 |    3.313 |  0.00 |
| 1088 | SPAT0951-SLIT1088-DET01 |       951.0 |        0.437 |      3.00 |    0.483 | 19.17 |
| 1088 | SPAT0999-SLIT1088-DET01 |       998.9 |        0.459 |      3.00 |    1.008 | 18.96 |
| 1088 | SPAT1168-SLIT1088-DET01 |      1168.1 |        0.538 |      3.00 |    5.149 |  0.09 |
| 1088 | SPAT1182-SLIT1088-DET01 |      1182.1 |        0.544 |      3.00 |    5.050 |  0.25 |
| 1088 | SPAT1207-SLIT1088-DET01 |      1207.0 |        0.555 |      3.00 |    0.449 | -0.06 |
