| order |          name | spat_pixpos | spat_fracpos | box_width | opt_fwhm |   s2n | wv_rms |
|    26 | OBJ0281-DET01 |        82.1 |        0.281 |      3.21 |    0.937 |  1.63 |  0.029 |
|    25 | OBJ0281-DET01 |       154.0 |        0.281 |      3.18 |    0.925 | 40.22 |  0.073 |
|    24 | OBJ0281-DET01 |       223.4 |        0.281 |      3.15 |    0.905 | 67.99 |  0.035 |
|    23 | OBJ0281-DET01 |       290.3 |        0.281 |      3.12 |    0.885 | 68.66 |  0.076 |
|    22 | OBJ0281-DET01 |       354.8 |        0.281 |      3.10 |    0.863 | 73.19 |  0.063 |
|    21 | OBJ0281-DET01 |       417.2 |        0.281 |      3.07 |    0.844 | 44.23 |  0.053 |
|    20 | OBJ0281-DET01 |       477.5 |        0.281 |      3.04 |    0.822 | 62.89 |  0.099 |
|    19 | OBJ0281-DET01 |       536.1 |        0.281 |      3.01 |    0.795 | 47.78 |  0.201 |
|    18 | OBJ0281-DET01 |       593.0 |        0.281 |      2.99 |    0.782 | 55.51 |  0.140 |
|    17 | OBJ0281-DET01 |       649.0 |        0.281 |      2.96 |    0.759 | 57.09 |  0.124 |
|    16 | OBJ0281-DET01 |       704.5 |        0.281 |      2.94 |    0.747 | 61.58 |  0.216 |
|    15 | OBJ0281-DET01 |       760.1 |        0.281 |      2.91 |    0.720 | 63.98 |  0.297 |
|    14 | OBJ0281-DET01 |       816.8 |        0.281 |      2.89 |    0.693 | 33.21 |  0.279 |
|    13 | OBJ0281-DET01 |       875.9 |        0.281 |      2.86 |    0.685 | 32.98 |  0.317 |
|    12 | OBJ0281-DET01 |       939.2 |        0.281 |      2.84 |    0.654 | 21.11 |  0.240 |
|    11 | OBJ0281-DET01 |      1009.6 |        0.281 |      2.81 |    0.627 |  4.24 |  0.164 |
