| order |          name | spat_pixpos | spat_fracpos | box_width | opt_fwhm |  s2n | wv_rms |
|    26 | OBJ0731-DET01 |       102.6 |        0.731 |      3.18 |    0.605 | 0.00 |  0.040 |
|    25 | OBJ0731-DET01 |       173.9 |        0.731 |      3.18 |    0.605 | 0.00 |  0.034 |
|    24 | OBJ0731-DET01 |       243.3 |        0.731 |      3.15 |    0.605 | 0.41 |  0.038 |
|    23 | OBJ0731-DET01 |       310.0 |        0.731 |      3.12 |    0.605 | 0.54 |  0.067 |
|    22 | OBJ0731-DET01 |       374.5 |        0.731 |      3.10 |    0.605 | 1.06 |  0.071 |
|    21 | OBJ0731-DET01 |       436.8 |        0.731 |      3.07 |    0.605 | 1.21 |  0.022 |
|    20 | OBJ0731-DET01 |       497.0 |        0.731 |      3.04 |    0.605 | 1.43 |  0.079 |
|    19 | OBJ0731-DET01 |       555.5 |        0.731 |      3.01 |    0.605 | 0.70 |  0.179 |
|    18 | OBJ0731-DET01 |       612.4 |        0.731 |      2.99 |    0.605 | 1.76 |  0.143 |
|    17 | OBJ0731-DET01 |       668.4 |        0.731 |      2.96 |    0.599 | 2.41 |  0.104 |
|    16 | OBJ0731-DET01 |       723.7 |        0.731 |      2.94 |    0.605 | 2.70 |  0.210 |
|    15 | OBJ0731-DET01 |       779.2 |        0.731 |      2.91 |    0.622 | 2.41 |  0.297 |
|    14 | OBJ0731-DET01 |       835.8 |        0.731 |      2.91 |    0.605 | 1.05 |  0.280 |
|    13 | OBJ0731-DET01 |       894.9 |        0.731 |      2.86 |    0.605 | 1.11 |  0.291 |
|    12 | OBJ0731-DET01 |       957.8 |        0.731 |      2.86 |    0.605 | 0.64 |  0.303 |
|    11 | OBJ0731-DET01 |      1027.1 |        0.731 |      2.86 |    0.605 | 0.10 |  0.157 |
