| slit |                    name | spat_pixpos | spat_fracpos | box_width | opt_fwhm |   s2n |
| 1077 | SPAT0290-SLIT1077-DET01 |       290.1 |        0.131 |      3.00 |    2.125 |  1.52 |
| 1077 | SPAT0324-SLIT1077-DET01 |       324.1 |        0.147 |      3.00 |    2.843 |  1.36 |
| 1077 | SPAT0623-SLIT1077-DET01 |       622.8 |        0.288 |      3.00 |    5.093 |  3.13 |
| 1077 | SPAT0629-SLIT1077-DET01 |       629.0 |        0.290 |      3.00 |    4.863 |  2.99 |
| 1077 | SPAT0931-SLIT1077-DET01 |       931.1 |        0.432 |      3.00 |    0.652 | 13.35 |
| 1077 | SPAT1519-SLIT1077-DET01 |      1519.4 |        0.707 |      3.00 |   12.268 |  2.99 |
| 1077 | SPAT1861-SLIT1077-DET01 |      1860.8 |        0.867 |      3.00 |   14.587 |  4.56 |
| 1077 | SPAT1875-SLIT1077-DET01 |      1875.0 |        0.874 |      3.00 |   14.973 |  4.87 |
| 1077 | SPAT1889-SLIT1077-DET01 |      1889.4 |        0.881 |      3.00 |   14.251 |  4.80 |
| 1077 | SPAT2032-SLIT1077-DET01 |      2032.3 |        0.947 |      3.00 |    9.903 |  3.22 |
