| slit |                    name | spat_pixpos | spat_fracpos | box_width | opt_fwhm |   s2n | wv_rms |
| 1021 | SPAT0396-SLIT1021-DET01 |       396.0 |        0.191 |      3.00 |    1.773 |  1.01 |  0.095 |
| 1021 | SPAT0441-SLIT1021-DET01 |       440.7 |        0.213 |      3.00 |    1.829 |  0.45 |  0.095 |
| 1021 | SPAT0697-SLIT1021-DET01 |       697.4 |        0.340 |      3.00 |    0.801 | 14.90 |  0.095 |
| 1021 | SPAT0972-SLIT1021-DET01 |       972.0 |        0.476 |      3.00 |    1.361 |  0.89 |  0.095 |
| 1021 | SPAT1009-SLIT1021-DET01 |      1009.0 |        0.494 |      3.00 |    0.659 | 28.79 |  0.095 |
| 1021 | SPAT1811-SLIT1021-DET01 |      1811.4 |        0.891 |      3.00 |    8.097 |  5.51 |  0.095 |
| 1021 | SPAT1835-SLIT1021-DET01 |      1835.0 |        0.902 |      3.00 |    2.601 |  6.58 |  0.095 |
| 1021 | SPAT1899-SLIT1021-DET01 |      1898.8 |        0.934 |      3.00 |    3.485 |  0.81 |  0.095 |
