| order |          name | spat_pixpos | spat_fracpos | box_width | opt_fwhm |  s2n | wv_rms |
|     7 | OBJ0405-DET01 |       221.2 |        0.405 |      1.50 |    0.633 | 0.00 |  0.071 |
|     7 | OBJ0958-DET01 |       293.2 |        0.958 |      1.50 |    0.633 | 0.00 |  0.071 |
|     6 | OBJ0405-DET01 |       404.6 |        0.405 |      1.50 |    0.633 | 2.11 |  0.069 |
|     6 | OBJ0958-DET01 |       474.4 |        0.958 |      1.50 |    0.633 | 0.02 |  0.069 |
|     5 | OBJ0405-DET01 |       562.6 |        0.405 |      1.50 |    0.633 | 3.36 |  0.144 |
|     5 | OBJ0958-DET01 |       629.9 |        0.958 |      1.50 |    0.753 | 0.04 |  0.144 |
|     4 | OBJ0405-DET01 |       708.7 |        0.405 |      1.50 |    0.637 | 5.59 |  0.089 |
|     4 | OBJ0958-DET01 |       774.4 |        0.958 |      1.50 |    4.503 | 2.00 |  0.089 |
|     3 | OBJ0405-DET01 |       873.6 |        0.405 |      1.50 |    0.539 | 5.60 |  0.166 |
|     3 | OBJ0958-DET01 |       937.9 |        0.958 |      1.50 |    0.734 | 0.02 |  0.166 |
