| order |          name | spat_pixpos | spat_fracpos | box_width | opt_fwhm |    s2n | wv_rms |
|     7 | OBJ0346-DET01 |       214.4 |        0.346 |      1.50 |    0.593 |   0.00 |  0.057 |
|     7 | OBJ0746-DET01 |       265.4 |        0.746 |      1.50 |    0.502 |   0.00 |  0.057 |
|     6 | OBJ0346-DET01 |       395.8 |        0.346 |      1.50 |    4.379 |  10.75 |  0.066 |
|     6 | OBJ0746-DET01 |       447.4 |        0.746 |      1.50 |    0.436 | 132.06 |  0.066 |
|     5 | OBJ0346-DET01 |       553.8 |        0.346 |      1.50 |    0.656 |   6.00 |  0.147 |
|     5 | OBJ0746-DET01 |       604.5 |        0.746 |      1.50 |    0.412 | 123.76 |  0.147 |
|     4 | OBJ0346-DET01 |       700.2 |        0.346 |      1.50 |    3.193 |  11.23 |  0.126 |
|     4 | OBJ0746-DET01 |       749.9 |        0.746 |      1.50 |    0.403 | 132.42 |  0.126 |
|     3 | OBJ0346-DET01 |       866.2 |        0.346 |      1.50 |    0.452 |   0.78 |  0.174 |
|     3 | OBJ0746-DET01 |       913.9 |        0.746 |      1.50 |    0.345 | 118.49 |  0.174 |
