| slit |                    name | spat_pixpos | spat_fracpos | box_width | opt_fwhm |   s2n |
| 1063 | SPAT0012-SLIT1063-DET01 |        11.8 |        0.003 |      3.00 |    0.797 |  2.50 |
| 1063 | SPAT0576-SLIT1063-DET01 |       575.9 |        0.269 |      3.00 |    3.010 |  1.76 |
| 1063 | SPAT0698-SLIT1063-DET01 |       697.6 |        0.327 |      3.00 |    1.413 |  1.73 |
| 1063 | SPAT0957-SLIT1063-DET01 |       957.4 |        0.450 |      3.00 |    0.635 | 97.98 |
| 1063 | SPAT1078-SLIT1063-DET01 |      1078.0 |        0.507 |      3.00 |    1.013 |  0.62 |
| 1063 | SPAT1870-SLIT1063-DET01 |      1870.1 |        0.883 |      3.00 |    0.611 | 65.40 |
| 1063 | SPAT2091-SLIT1063-DET01 |      2091.3 |        0.988 |      3.00 |    3.873 |  0.69 |
| 1063 | SPAT2094-SLIT1063-DET01 |      2094.4 |        0.990 |      3.00 |    3.900 |  0.82 |
