| slit |                    name | spat_pixpos | spat_fracpos | box_width | opt_fwhm |  s2n |
| 1312 | SPAT0062-SLIT1312-DET01 |        62.3 |        0.020 |      3.00 |    6.622 | 0.47 |
| 1312 | SPAT0069-SLIT1312-DET01 |        68.7 |        0.023 |      3.00 |    6.645 | 0.51 |
| 1312 | SPAT0239-SLIT1312-DET01 |       238.8 |        0.088 |      3.00 |    5.203 | 0.99 |
| 1312 | SPAT1021-SLIT1312-DET01 |      1021.0 |        0.388 |      3.00 |    1.108 | 1.10 |
| 1312 | SPAT1418-SLIT1312-DET01 |      1417.6 |        0.541 |      3.00 |    4.485 | 0.57 |
| 1312 | SPAT1596-SLIT1312-DET01 |      1595.9 |        0.609 |      3.00 |    0.804 | 0.31 |
| 1312 | SPAT1641-SLIT1312-DET01 |      1640.8 |        0.626 |      3.00 |    4.249 | 0.64 |
| 1312 | SPAT1730-SLIT1312-DET01 |      1730.0 |        0.661 |      3.00 |    4.292 | 0.32 |
| 1312 | SPAT2391-SLIT1312-DET01 |      2391.0 |        0.915 |      3.00 |    3.964 | 1.11 |
| 1312 | SPAT2427-SLIT1312-DET01 |      2427.5 |        0.928 |      3.00 |    6.148 | 1.06 |
