Name,RA_deg,DEC_deg,JAB,P(6<z<6.5),P(6.5<z<7),offset_ra,offset_dec,mag_z,separation,flag
J073950.838+264530.179,114.961825,26.7583831,21.491885999999997,1.422986534553359E-4,0.029505787371484724,114.95284602972367,26.761359405210264,16.820635,30.787062983591344,2
J074444.791+235251.153,116.186631,23.8808758,20.732376,0.10139661825495032,3.6243557099172486E-4,116.18276225235772,23.88228901930581,17.453247,13.713707081229229,1
J075143.772+265310.881,117.932383,26.8863557,21.17532,0.010454060733835667,1.2144294291019983E-6,117.92562708677283,26.87800518325139,17.725271,37.07162525940209,2
J075406.355+275437.431,118.5264797,27.9103975,21.252041,0.040931160437754174,4.6554963041329855E-4,118.536099818309,27.90928042593227,17.777721,30.86724918513601,2
J075810.333+232224.430,119.5430533,23.3734529,21.305172,0.041060108919514074,2.876839742312211E-6,119.5395947053238,23.377209438366037,18.194746,17.706184192516062,1
J080708.159+235154.670,121.7839951,23.8651862,21.356543,0.027119423982055194,9.681098332323566E-4,121.77248592864512,23.85931679577228,18.29747,43.384619824074164,2
J082825.529+003622.881,127.1063701,0.6063557,21.019175,0.021534279072591048,7.833806005239403E-6,127.09550543783776,0.6082220994105036,19.065414,39.6835415311182,2
J085428.106+290833.104,133.6171092,29.1425288,20.714489999999998,7.096676301653095E-6,0.1459356867563156,133.6285735899035,29.142015792186168,19.272562,36.09461555804661,1
J085617.484+264026.620,134.0728517,26.6740612,21.032263,0.0012297286066003407,0.0202627341518827,134.07827217919493,26.674708183643027,16.479322,17.591791855383562,1
J095415.180-011754.786,148.5632501,-1.2985516,20.288415999999998,2.8922336626530445E-4,0.014395917393085997,148.54922425340953,-1.2984461853923457,18.11366,50.48150771102919,1
J095928.143+065144.225,149.8672618,6.8622846,21.151047,0.005646477055895041,0.036011068240819004,149.86241969873527,6.87085474109167,19.088625,35.37503804527624,1
J102047.400+042946.612,155.1975004,4.496281,21.055714,0.14502574251796377,1.2239200718043786E-4,155.19463922817786,4.504809065882771,18.804138,32.372749781326,2
J110039.295+023721.243,165.1637309,2.6225675,20.538475,0.005452747582194463,0.044740772564304344,165.15711272912722,2.615108575223652,18.015247,35.88178034076207,2
J111125.153+064053.984,167.854804,6.6816622,20.75224,0.0115560155598432,3.794816478722806E-12,167.84835301217385,6.673840395865386,16.641792,36.399744632456496,2
J115218.583+005934.029,178.0774277,0.9927859,20.296340999999998,0.023960672886398474,1.3322467635971854E-6,178.0868746233301,0.9935041759027544,16.831478,34.10199060922824,2
J123824.230+023459.841,189.6009592,2.5832891,20.691695,4.203641974002929E-6,0.11740763179386832,189.60217384490463,2.5728382553901423,17.78899,37.875786360088846,1
J124331.371+140317.271,190.8807105,14.0547975,21.089678,0.001267208459350842,0.023348681566935713,190.8821325314127,14.068052527755164,20.247253,47.9758000622308,2
J134028.617+142244.748,205.119237,14.3790966,21.077648,2.0675873988011654E-4,0.025557731626536018,205.115521248442,14.366630268038447,19.720314,46.712061411597894,1
J134922.649+080505.212,207.3443697,8.0847812,20.871396999999998,2.550466827243079E-4,0.03572812027738249,207.34029559293856,8.09060255888498,20.295938,25.496040770802672,1
J143853.869-010325.407,219.7244524,-1.0570574,20.842762,0.0014747135591510006,0.16808145912232958,219.7294941626032,-1.0573978353007147,19.346104,18.188592535845537,1
J162559.817+241418.659,246.4992391,24.2385165,20.993568999999997,0.007245897178819436,0.03919396440708817,246.5039868817973,24.248691592306383,16.871914,39.80781390358836,1
