| order |          name | spat_pixpos | spat_fracpos | box_width | opt_fwhm |  s2n | wv_rms |
|     7 | OBJ0487-DET01 |       232.3 |        0.487 |      1.50 |    0.965 | 0.00 |  0.062 |
|     6 | OBJ0487-DET01 |       415.1 |        0.487 |      1.50 |    0.859 | 6.45 |  0.061 |
|     5 | OBJ0487-DET01 |       573.1 |        0.487 |      1.50 |    0.792 | 5.99 |  0.136 |
|     4 | OBJ0487-DET01 |       719.3 |        0.487 |      1.50 |    0.723 | 4.61 |  0.087 |
|     3 | OBJ0487-DET01 |       883.2 |        0.487 |      1.50 |    0.826 | 1.27 |  0.160 |
|     7 | OBJ0776-DET01 |       269.3 |        0.776 |      1.50 |    0.962 | 0.00 |  0.062 |
|     6 | OBJ0776-DET01 |       450.9 |        0.776 |      1.50 |    0.824 | 2.63 |  0.061 |
|     5 | OBJ0776-DET01 |       608.0 |        0.776 |      1.50 |    0.788 | 2.96 |  0.136 |
|     4 | OBJ0776-DET01 |       753.6 |        0.776 |      1.50 |    1.137 | 2.81 |  0.087 |
|     3 | OBJ0776-DET01 |       925.2 |        0.776 |      1.50 |    1.368 | 4.62 |  0.160 |
|     7 | OBJ0207-DET01 |       194.8 |        0.207 |      1.50 |    1.058 | 0.00 |  0.062 |
|     6 | OBJ0207-DET01 |       379.6 |        0.207 |      1.50 |    1.054 | 2.41 |  0.061 |
|     5 | OBJ0207-DET01 |       538.3 |        0.207 |      1.50 |    0.652 | 2.34 |  0.136 |
|     4 | OBJ0207-DET01 |       684.9 |        0.207 |      1.50 |    0.864 | 2.07 |  0.087 |
|     3 | OBJ0207-DET01 |       853.7 |        0.207 |      1.50 |    0.826 | 1.47 |  0.160 |
