| order |          name | spat_pixpos | spat_fracpos | box_width | opt_fwhm |   s2n | wv_rms |
|     7 | OBJ0345-DET01 |       211.8 |        0.345 |      1.50 |    1.018 |  0.00 |  0.056 |
|     7 | OBJ0374-DET01 |       218.0 |        0.374 |      1.50 |    1.018 |  0.00 |  0.056 |
|     7 | OBJ0772-DET01 |       268.5 |        0.772 |      1.50 |    1.065 |  0.00 |  0.056 |
|     6 | OBJ0345-DET01 |       398.6 |        0.345 |      1.50 |    2.410 | -0.83 |  0.068 |
|     6 | OBJ0374-DET01 |       400.3 |        0.374 |      1.50 |    1.018 | -0.34 |  0.068 |
|     6 | OBJ0772-DET01 |       450.8 |        0.772 |      1.50 |    0.965 | 26.30 |  0.068 |
|     5 | OBJ0345-DET01 |       554.4 |        0.345 |      1.50 |    1.924 | -0.91 |  0.141 |
|     5 | OBJ0374-DET01 |       558.2 |        0.374 |      1.50 |    2.507 | -0.62 |  0.141 |
|     5 | OBJ0772-DET01 |       607.7 |        0.772 |      1.50 |    0.906 | 20.57 |  0.141 |
|     4 | OBJ0345-DET01 |       702.0 |        0.345 |      1.50 |    2.698 | -1.19 |  0.113 |
|     4 | OBJ0374-DET01 |       703.9 |        0.374 |      1.50 |    2.717 | -0.71 |  0.113 |
|     4 | OBJ0772-DET01 |       753.1 |        0.772 |      1.50 |    0.843 | 21.64 |  0.113 |
|     3 | OBJ0345-DET01 |       865.4 |        0.345 |      1.50 |    0.736 | -0.12 |  0.146 |
|     3 | OBJ0374-DET01 |       869.2 |        0.374 |      1.50 |    0.736 | -0.04 |  0.146 |
|     3 | OBJ0772-DET01 |       916.9 |        0.772 |      1.50 |    0.740 | 14.83 |  0.146 |
