| order |          name | spat_pixpos | spat_fracpos | box_width | opt_fwhm |  s2n | wv_rms |
|     7 | OBJ0367-DET01 |       217.2 |        0.367 |      1.50 |    0.626 | 0.00 |  0.040 |
|     7 | OBJ0952-DET01 |       292.5 |        0.952 |      1.50 |    0.626 | 0.00 |  0.040 |
|     6 | OBJ0367-DET01 |       399.9 |        0.367 |      1.50 |    0.626 | 1.07 |  0.064 |
|     6 | OBJ0952-DET01 |       473.0 |        0.952 |      1.50 |    0.626 | 0.12 |  0.064 |
|     5 | OBJ0367-DET01 |       557.9 |        0.367 |      1.50 |    0.833 | 1.90 |  0.135 |
|     5 | OBJ0952-DET01 |       629.3 |        0.952 |      1.50 |    0.741 | 0.08 |  0.135 |
|     4 | OBJ0367-DET01 |       704.1 |        0.367 |      1.50 |    0.626 | 3.89 |  0.089 |
|     4 | OBJ0952-DET01 |       773.8 |        0.952 |      1.50 |    0.856 | 0.29 |  0.089 |
|     3 | OBJ0367-DET01 |       869.1 |        0.367 |      1.50 |    0.538 | 4.40 |  0.180 |
|     3 | OBJ0952-DET01 |       938.4 |        0.952 |      1.50 |    5.847 | 0.15 |  0.180 |
