| order |          name | spat_pixpos | spat_fracpos | box_width | opt_fwhm |  s2n | wv_rms |
|     7 | OBJ0844-DET01 |       280.4 |        0.844 |      1.50 |    1.203 | 0.00 |  0.055 |
|     6 | OBJ0844-DET01 |       460.4 |        0.844 |      1.50 |    1.203 | 0.81 |  0.077 |
|     5 | OBJ0844-DET01 |       616.9 |        0.844 |      1.50 |    1.203 | 0.95 |  0.150 |
|     4 | OBJ0844-DET01 |       761.6 |        0.844 |      1.50 |    1.237 | 1.34 |  0.099 |
|     3 | OBJ0844-DET01 |       925.4 |        0.844 |      1.50 |    1.038 | 3.11 |  0.160 |
|     7 | OBJ0254-DET01 |       202.7 |        0.254 |      1.50 |    1.203 | 0.00 |  0.055 |
|     6 | OBJ0254-DET01 |       386.3 |        0.254 |      1.50 |    1.203 | 0.26 |  0.077 |
|     5 | OBJ0254-DET01 |       544.1 |        0.254 |      1.50 |    1.079 | 0.32 |  0.150 |
|     4 | OBJ0254-DET01 |       689.9 |        0.254 |      1.50 |    1.273 | 0.01 |  0.099 |
|     3 | OBJ0254-DET01 |       855.1 |        0.254 |      1.50 |    1.324 | 0.94 |  0.160 |
|     7 | OBJ0195-DET01 |       195.0 |        0.195 |      1.50 |    1.203 | 0.00 |  0.055 |
|     6 | OBJ0195-DET01 |       377.8 |        0.195 |      1.50 |    1.203 | 0.13 |  0.077 |
|     5 | OBJ0195-DET01 |       536.2 |        0.195 |      1.50 |    1.269 | 0.17 |  0.150 |
|     4 | OBJ0195-DET01 |       682.7 |        0.195 |      1.50 |    1.312 | 0.07 |  0.099 |
|     3 | OBJ0195-DET01 |       851.1 |        0.195 |      1.50 |    2.284 | 1.02 |  0.160 |
