| order |          name | spat_pixpos | spat_fracpos | box_width | opt_fwhm |   s2n | wv_rms |
|     7 | OBJ0224-DET01 |       198.7 |        0.224 |      1.50 |    1.109 |  0.00 |  0.056 |
|     7 | OBJ0650-DET01 |       253.3 |        0.650 |      1.50 |    0.960 |  0.00 |  0.056 |
|     6 | OBJ0224-DET01 |       381.8 |        0.224 |      1.50 |    0.968 | 23.27 |  0.068 |
|     6 | OBJ0650-DET01 |       432.4 |        0.650 |      1.50 |    2.242 | -0.28 |  0.068 |
|     5 | OBJ0224-DET01 |       540.3 |        0.224 |      1.50 |    0.911 | 17.81 |  0.141 |
|     5 | OBJ0650-DET01 |       590.1 |        0.650 |      1.50 |    2.013 | -0.51 |  0.141 |
|     4 | OBJ0224-DET01 |       686.9 |        0.224 |      1.50 |    0.854 | 18.05 |  0.113 |
|     4 | OBJ0650-DET01 |       738.0 |        0.650 |      1.50 |    2.376 | -0.69 |  0.113 |
|     3 | OBJ0224-DET01 |       852.2 |        0.224 |      1.50 |    0.754 | 12.01 |  0.146 |
|     3 | OBJ0650-DET01 |       904.0 |        0.650 |      1.50 |    0.742 | -0.13 |  0.146 |
