| slit |                    name | spat_pixpos | spat_fracpos | box_width | opt_fwhm |   s2n |
|  345 | SPAT0177-SLIT0345-DET01 |       176.6 |        0.247 |      3.00 |    0.990 | 94.01 |
|  345 | SPAT0275-SLIT0345-DET01 |       274.7 |        0.394 |      3.00 |    1.157 |  0.46 |
|  345 | SPAT0346-SLIT0345-DET01 |       346.0 |        0.500 |      3.00 |    1.035 |  0.33 |
|  345 | SPAT0393-SLIT0345-DET01 |       392.6 |        0.571 |      3.00 |    1.254 | 39.26 |
|  345 | SPAT0462-SLIT0345-DET01 |       461.8 |        0.674 |      3.00 |    1.934 |  1.63 |
|  345 | SPAT0592-SLIT0345-DET01 |       592.2 |        0.869 |      3.00 |    4.009 |  1.71 |
|  345 | SPAT0610-SLIT0345-DET01 |       610.1 |        0.895 |      3.00 |   20.602 |  3.50 |
|  345 | SPAT0610-SLIT0345-DET01 |       610.2 |        0.895 |      3.00 |   20.773 |  3.51 |
