Name,redshift,radeg,decdeg,JAperMag3,JAperMag3Err
SDSSJ085430.37+205650.8  ,5.171,133.6265417,20.9474556,,
SDSSJ094855.36+210631.5  ,5.173,147.2306667,21.1087694,18.750425,0.099185
SDSSJ095727.86+051905.2  ,5.185,149.366125,5.3181333,18.540606,0.058949
SDSSJ074154.72+252029.6  ,5.194,115.478,25.3415694,17.41799,0.02069
SDSSJ090245.76+085115.9  ,5.215,135.6906667,8.8544222,19.010075,0.07284
SDSSJ102623.62+254259.4  ,5.25 ,156.5984583,25.7165139,18.511465,0.092777
SWJ081248.82+044056.54   ,5.29 ,123.2034167,4.6823722,18.725115,0.090428
SDSSJ092721.82+200123.7  ,5.79 ,141.8409167,20.02325,19.1168,0.167026
SDSSJ083643.85+005453.3  ,5.82 ,129.1827083,0.9148056,17.69717,0.012611
VIKINGKiDSJ0839+0015     ,5.84 ,129.9806667,0.2650583,19.876862,0.095237
PSOJ127.2817+03.0657     ,5.85 ,127.28175,3.0657111,-999999500.0,-999999500.0
PSOJ157.9070-02.6599     ,5.88 ,157.9070417,-2.6599083,-999999500.0,-999999500.0
SDSSJ081827.40+172251.8  ,6.0  ,124.6141667,17.3810556,18.170103,0.058725
ULASJ082813.41+263355.49 ,6.05 ,127.055875,26.5654139,19.473135,0.124574
SDSSJ103027.10+052455.0  ,6.28 ,157.6129167,5.4152778,18.852478,0.082638
PSOJ159.2257-02.5438     ,6.38 ,159.2257917,-2.5438722,-999999500.0,-999999500.0
J074642.23+200031.5      ,L    ,116.6759583,20.00875,11.759,0.02
J075332.07+291710.3      ,L    ,118.383625,29.28619444,15.516,0.048
J075515.18+293445.0      ,L    ,118.81325,29.57916667,17.229,0.194
J075625.28+124454.2      ,L    ,119.1053333,12.74838889,16.659,0.139
J075656.43+231455.4      ,L    ,119.235125,23.24872222,16.773,0.145
J082030.08+103736.8      ,L    ,125.1253333,10.62688889,16.98,0.185
J082348.05+242858.2      ,L    ,125.9502083,24.48283333,14.986,0.043
J082957.00+265509.4      ,L    ,127.4875,26.91927778,17.109,0.186
J083506.10+195303.6      ,L    ,128.7754167,19.88433333,16.094,0.075
J083558.21+054830.5      ,L    ,128.9925417,5.808472222,14.533,0.036
J090347.54+011445.2      ,L    ,135.9480833,1.245888889,16.449,0.139
J091303.23+184147.9      ,L    ,138.2634583,18.69663889,15.966,0.055
J091534.08+042205.1      ,L    ,138.892,4.368083333,14.548,0.03
J091838.44+213404.1      ,L    ,139.6601667,21.56780556,15.662,0.061
PSO_J127.4696+10.5777    ,L    ,127.4696,10.5777,17.07,0.03
PSO_J146.0144+05.1319    ,L    ,146.0144,5.1319,16.74,0.02
PSO_J158.1597+05.2231    ,L    ,158.1597,5.2231,16.62,0.01
J070037.46+280122.5      ,M    ,105.1560833,28.02291667,15.638,0.046
J075059.51+280415.4      ,M    ,117.7479583,28.07094444,15.366,0.047
J075353.10+085359.9      ,M    ,118.47125,8.899972222,12.627,0.021
J075809.36+280329.2      ,M    ,119.539,28.05811111,14.977,0.034
J085335.80-032934.2      ,M    ,133.3991667,-3.492833333,11.212,0.023
J090206.59+003318.5      ,M    ,135.5274583,0.555138889,12.106,0.021
J091800.96+280220.5      ,M    ,139.504,28.03902778,15.411,0.057
J092507.00+275727.8      ,M    ,141.2791667,27.95772222,12.692,0.018
J092623.81+275700.9      ,M    ,141.5992083,27.95025,15.324,0.049
J093714.90+275913.2      ,M    ,144.3120833,27.987,12.237,0.021
J095723.93+263250.6      ,M    ,149.3497083,26.54738889,13.485,0.021
J101634.54+275144.1      ,M    ,154.1439167,27.86225,11.987,0.015
PSO_J133.8302+06.0160    ,M    ,133.8302,6.016,16.34,0.01
J074148.97+235124.0      ,T    ,115.4540417,23.85666667,16.158,0.101
J075547.93+221214.4      ,T    ,118.9497083,22.204,15.728,0.064
J075840.16+324721.0      ,T    ,119.6673333,32.78916667,14.947,0.044
J085910.62+101013.8      ,T    ,134.79425,10.1705,17.88,0.06
J092624.75+071138.3      ,T    ,141.603125,7.193972222,17.48,0.02
J092906.77+040957.9      ,T    ,142.2782083,4.166083333,16.67,0.09
J102109.57-030421.5      ,T    ,155.289875,-3.072638889,16.253,0.091
PSO_J133.8016-02.5658    ,T    ,133.8016,-2.5658,16.0,0.02
PSO_J136.3401+10.1151    ,T    ,136.3401,10.1151,17.08,0.02
SDSSJ121329.07+181029.1  ,4.5  ,183.371125,18.1747639,19.175486,0.132251
SDSSJ130216.13+003032.1  ,4.505,195.5672083,0.5089278,18.475512,0.024097
SDSSJ120247.22+071722.0  ,4.508,180.6967917,7.2894528,18.732525,0.098018
SDSSJ125147.91+041831.1  ,4.508,192.949625,4.3086444,19.167246,0.098547
SDSSJ131016.42+053042.0  ,4.51 ,197.5684167,5.5116778,19.172535,0.114589
SDSSJ112317.83+253506.4  ,4.527,170.8242917,25.5851167,18.611406,0.098772
SDSSJ113703.19+104312.1  ,4.534,174.2632917,10.7200361,17.930056,0.02845
SDSSJ120546.38+264026.1  ,4.541,181.4432917,26.6739417,18.796724,0.087812
SDSSJ113736.71-001944.8  ,4.542,174.403,-0.3291389,19.988684,0.117003
SWJ122342.16+183955.39   ,4.55 ,185.9256667,18.6653861,17.868828,0.043393
SDSSJ112253.50+005329.7  ,4.551,170.7229583,0.8916083,18.079096,0.017059
SDSSJ125025.40+183458.1  ,4.555,192.605875,18.5828222,18.080942,0.068913
SDSSJ114914.88+281308.7  ,4.557,177.3120417,28.2190944,17.476328,0.032519
SDSSJ132304.92+135418.2  ,4.562,200.7705,13.9050667,19.280027,0.07913
SDSSJ105210.79+062008.7  ,4.575,163.045,6.3357528,18.922834,0.088286
SDSSJ123604.19+030341.8  ,4.577,189.0174583,3.0616333,18.708906,0.071647
SDSSJ120110.31+211758.4  ,4.579,180.2929583,21.2995778,17.288994,0.0313
SDSSJ121409.83+035438.8  ,4.579,183.5409583,3.9107833,18.391087,0.070126
SDSSJ120312.63-001118.8  ,4.592,180.802625,-0.1885694,17.92677,0.015603
SDSSJ114225.31+110217.4  ,4.596,175.6054583,11.0381667,18.289463,0.052361
SDSSJ124144.14+034809.2  ,4.596,190.4339167,3.802575,19.36712,0.18723
SDSSJ111401.47-005321.2  ,4.6  ,168.5061667,-0.8892278,18.87271,0.035872
SDSSJ131121.32+222738.6  ,4.609,197.838875,22.4607472,18.87026,0.103485
SDSSJ130002.16+011823.0  ,4.612,195.009,1.3064028,17.706314,0.027807
SDSSJ111523.24+082918.4  ,4.635,168.8468333,8.4884611,18.044186,0.036352
SDSSJ111741.26+261039.2  ,4.636,169.4219167,26.177575,18.379309,0.085361
SDSSJ110150.89+240922.4  ,4.64 ,165.4620417,24.1562333,18.273443,0.060614
SDSSJ130110.95+252738.2  ,4.664,195.295625,25.4606389,18.683231,0.093406
SDSSJ114050.28+281221.1  ,4.667,175.2095417,28.2058667,,
SDSSJ115744.95+221754.9  ,4.67 ,179.4372917,22.2985889,18.49076,0.086219
SDSSJ123503.04-000331.7  ,4.685,188.7626667,-0.0588139,19.187275,0.04671
SDSSJ113906.95-014941.5  ,4.687,174.779,-1.8282139,20.243904,0.124562
SDSSJ125832.51+141009.1  ,4.693,194.6355,14.1692028,,
BR1202-0725              ,4.694,181.3463333,-7.7089194,16.842237,0.019321
SDSSJ115158.26+030341.8  ,4.699,177.9927917,3.0616222,-999999500.0,-999999500.0
SDSSJ130917.13+165758.4  ,4.71 ,197.321375,16.9662472,18.03528,0.065278
SDSSJ132110.81+003821.6  ,4.729,200.2950833,0.6393583,18.844713,0.029248
SDSSJ105919.22+023428.7  ,4.735,164.8300833,2.5746528,18.567524,0.063821
SDSSJ110045.23+112239.1  ,4.74 ,165.1884583,11.3775389,17.872402,0.037227
SDSSJ124735.78+063842.6  ,4.744,191.899125,6.6451833,-999999500.0,-999999500.0
SDSSJ112420.57-010743.6  ,4.77 ,171.0857083,-1.1287944,19.399443,0.223005
SDSSJ130328.28+214421.3  ,4.772,195.8678333,21.7392528,19.033031,0.128095
SDSSJ114448.54+055709.7  ,4.788,176.2022917,5.9527167,19.379065,0.143195
SDSSJ112242.98-022905.1  ,4.795,170.6790833,-2.48475,,
SDSSJ120131.56+053510.1  ,4.795,180.3815417,5.58615,17.721447,0.034844
SDSSJ130152.55+221012.2  ,4.799,195.469,22.1700583,18.586456,0.086318
SDSSJ130619.39+023658.9  ,4.8  ,196.5807917,2.6163722,17.83888,0.044072
SDSSJ110131.37-004248.3  ,4.805,165.38075,-0.7134389,19.577408,0.064127
SDSSJ120256.44+072038.9  ,4.807,180.7351667,7.3441611,19.095839,0.13501
SDSSJ110350.30+245146.6  ,4.837,165.9595833,24.8629639,18.493488,0.083166
SDSSJ123623.03+182435.8  ,4.85 ,189.096,18.4099472,,
SDSSJ105020.40+262002.3  ,4.864,162.5850417,26.3339806,18.25064,0.07877
SDSSJ112956.09-014212.4  ,4.865,172.4837083,-1.7034556,17.359983,0.036851
SDSSJ111358.32+025333.6  ,4.867,168.493,2.8926806,18.822018,0.061607
SDSSJ115922.20+262915.5  ,4.88 ,179.8425417,26.4876472,18.597488,0.09602
SDSSJ120516.55+075100.4  ,4.888,181.319,7.8501306,,
SDSSJ125353.35+104603.1  ,4.911,193.4722917,10.7675528,18.008984,0.055103
SDSSJ115207.34+030701.7  ,4.915,178.0305833,3.1171389,-999999500.0,-999999500.0
SDSSJ120055.61+181733.0  ,4.998,180.23175,18.2925028,18.485256,0.088189
SDSSJ110134.35+053133.8  ,5.0  ,165.3931667,5.526075,18.063719,0.039904
SDSSJ112311.13-004418.5  ,5.0  ,170.7964583,-0.7385111,19.158907,0.063313
SDSSJ115424.73+134145.7  ,5.005,178.6030417,13.6960528,18.927229,0.095915
SDSSJ115419.91+233357.2  ,5.011,178.583,23.5659083,18.893587,0.109373
SDSSJ120852.66+211033.9  ,5.06 ,182.2194583,21.1761028,18.443882,0.080281
SDSSJ120441.73-002149.6  ,5.09 ,181.173875,-0.3637861,18.04625,0.017416
SDSSJ122237.96+195842.9  ,5.13 ,185.6581667,19.9785917,18.808882,0.122016
SDSSJ120952.73+183147.2  ,5.148,182.4697083,18.5297806,18.401783,0.095914
SDSSJ113246.50+120901.6  ,5.167,173.19375,12.1504722,18.203,0.043809
SDSSJ112250.04+134236.4  ,5.187,170.7085,13.710125,-999999500.0,-999999500.0
SDSSJ112637.96+173458.5  ,5.216,171.6582083,17.5829306,18.63121,0.082827
SDSSJ120823.82+001027.7  ,5.273,182.09925,0.1743611,19.486116,0.072742
PSOJ172.1770+26.8866     ,5.77 ,172.177,26.8866667,,
PSOJ187.1047-02.5609     ,5.77 ,187.1047917,-2.5609028,20.019495,0.108445
SDSSJ104433.04-012502.2  ,5.8  ,161.1376667,-1.4172778,18.308308,0.048969
VIKINGKiDSJ1148+0056     ,5.84 ,177.13825,0.9450722,20.737215,0.191935
PSOJ197.7198+25.5351     ,5.84 ,197.7197917,25.5351889,-999999500.0,-999999500.0
SDSSJ124340.81+252923.9  ,5.85 ,190.9200417,25.4899722,19.205292,0.115642
PSOJ187.3050+04.3243     ,5.89 ,187.305,4.3243611,-999999500.0,-999999500.0
PSOJ194.1290+25.5476     ,5.91 ,194.1290417,25.547625,-999999500.0,-999999500.0
VIKINGKiDSJ1215+0023     ,5.93 ,183.8202917,0.3901806,20.376295,0.147574
SDSSJ130608.26+035626.3  ,5.99 ,196.5344167,3.9406389,18.86228,0.105259
SDSSJ120737.43+063010.1  ,6.04 ,181.9059583,6.5028056,19.350891,0.141817
ULASJ131911.29+095051.40 ,6.13 ,199.7970417,9.8476111,18.693014,0.053171
PSOJ184.3389+01.5284     ,6.2  ,184.3389167,1.5284639,20.209135,0.158745
ULASJ114803.29+070208.30 ,6.29 ,177.0137083,7.0356389,19.360973,0.113388
HSCJ1152+0055            ,6.37 ,178.088625,0.9268333,20.743647,0.222994
PSOJ183.1124+05.0926     ,6.45 ,183.1124167,5.0926389,-999999500.0,-999999500.0
DUJ104819.09-010940.2    ,6.6  ,162.0795417,-1.1611694,19.71481,0.173288
ULASJ112001.48+064124.30 ,7.08 ,170.0061667,6.6900833,19.407145,0.149513
J125656.74+014615.9      ,L    ,194.2364167,1.771083333,14.48,0.03
J125737.34-011336.5      ,L    ,194.4055833,-1.226805556,15.941,0.084
PSO_J167.1132+08.6331    ,L    ,167.1132,8.6331,16.56,0.01
PSO_J175.2003+16.1403    ,L    ,175.2003,16.1403,16.82,0.02
PSO_J186.5342+21.8364    ,M    ,186.5342,21.8364,16.92,0.02
J104829.08+091939.4      ,T    ,162.1211667,9.327611111,16.594,0.151
J111009.86+011608.7      ,T    ,167.5410833,1.269083333,16.343,0.115
J115323.23-014828.0      ,T    ,178.3467917,-1.807777778,17.59,0.02
J115700.56+061103.2      ,T    ,179.2523333,6.184222222,16.926,0.2
J120257.02+090158.1      ,T    ,180.7375833,9.032805556,16.71,0.03
J120746.83+024426.3      ,T    ,181.945125,2.740638889,15.58,0.071
J123828.37+095352.5      ,T    ,189.6182083,9.897916667,18.95,0.02
J125453.57-012245.8      ,T    ,193.7232083,-1.379388889,14.891,0.035
J131106.24+012252.4      ,T    ,197.776,1.381222222,20.2,0.13
SDSSJ171437.67+272223.8  ,4.5  ,258.6569583,27.3732861,18.923367,0.148308
SDSSJ144231.71+011055.3  ,4.507,220.6321667,1.1820361,19.031393,0.033752
SDSSJ134012.12+201219.5  ,4.51 ,205.0505417,20.2054306,19.084675,0.155909
SDSSJ162840.63+204546.1  ,4.515,247.1692917,20.7628222,19.185287,0.147132
SDSSJ134702.28-004207.0  ,4.517,206.7595,-0.7019472,19.781487,0.059513
SDSSJ144717.97+040112.4  ,4.518,221.8249167,4.0201333,17.856483,0.053889
SDSSJ132757.81+240421.7  ,4.523,201.9909167,24.0727111,18.88685,0.086172
SDSSJ154508.25+242846.1  ,4.525,236.2844167,24.4794861,19.063507,0.149104
SDSSJ150631.75+113149.7  ,4.53 ,226.6322917,11.530475,18.065733,0.033161
SDSSJ171509.96+294555.0  ,4.535,258.7915417,29.7652889,18.498566,0.073616
SDSSJ144407.63-010152.7  ,4.54 ,221.0317917,-1.0313278,18.07473,0.022115
SDSSJ160651.01+085037.5  ,4.542,241.7125417,8.8437528,19.084557,0.13822
SDSSJ155051.20+110418.9  ,4.545,237.7133333,11.0719278,18.651932,0.16109
SDSSJ161105.64+084435.4  ,4.548,242.7735417,8.7431722,18.03132,0.051275
SDSSJ152028.16+210039.6  ,4.55 ,230.1173333,21.0110111,19.204464,0.135214
SDSSJ152132.89+003252.2  ,4.55 ,230.3870417,0.54785,18.276594,0.06182
SDSSJ140935.00+122657.3  ,4.551,212.3958333,12.4492583,19.454365,0.140832
SDSSJ161859.06+263000.3  ,4.554,244.7460833,26.5000917,18.959686,0.081881
SDSSJ142046.88+100206.3  ,4.556,215.195375,10.0351083,18.90213,0.065317
SDSSJ135547.72+181957.7  ,4.56 ,208.948875,18.3327139,18.594425,0.086016
SDSSJ141914.19-015012.6  ,4.56 ,214.809125,-1.8368417,17.47108,0.020462
SDSSJ163411.81+215325.0  ,4.56 ,248.54925,21.8903,17.728241,0.03521
SDSSJ134910.08+212208.6  ,4.562,207.2920417,21.3690806,18.475447,0.082089
SDSSJ165248.64+174345.7  ,4.57 ,253.2026667,17.7293694,18.620525,0.096893
SDSSJ145448.07+220924.6  ,4.574,223.7003333,22.1568361,19.328568,0.188179
AGESJ143105.50+342717.8  ,4.576,217.7729583,34.4549639,19.22115,0.160929
SDSSJ134056.53+111044.9  ,4.579,205.2355833,11.1791583,18.964167,0.105213
SDSSJ133156.30+073240.8  ,4.58 ,202.984625,7.544675,18.991932,0.102392
SDSSJ153010.81+202027.4  ,4.585,232.5450833,20.3409528,19.185602,0.157212
SDSSJ155426.15+193703.0  ,4.612,238.609,19.6175111,16.776176,0.020392
SDSSJ151320.89+105807.3  ,4.617,228.3370833,10.9687056,18.244364,0.04069
SDSSJ151601.00+134545.0  ,4.62 ,229.0042083,13.7625222,18.690912,0.120539
SDSSJ153259.96-003944.1  ,4.62 ,233.2498333,-0.66225,18.239914,0.090916
SDSSJ143352.21+022713.9  ,4.623,218.4675417,2.4538806,17.294855,0.010826
SDSSJ143658.89+223737.2  ,4.631,219.245375,22.627025,19.675726,0.213579
SDSSJ150619.21+045553.9  ,4.644,226.5800417,4.9316389,19.4802,0.167713
SDSSJ134134.20+014157.6  ,4.65 ,205.3925,1.6993556,17.679926,0.03208
SDSSJ151155.98+040802.9  ,4.65 ,227.98325,4.1341667,18.854866,0.12834
SDSSJ152638.12+061402.5  ,4.653,231.6588333,6.2340333,18.7983,0.079754
SDSSJ134453.51+294519.6  ,4.66 ,206.2229583,29.7554556,17.879366,0.036012
SDSSJ144827.81+281059.5  ,4.66 ,222.1159167,28.1832056,17.507778,0.043661
SDSSJ133211.90+031556.3  ,4.665,203.0495833,3.2656417,18.418339,0.05627
SDSSJ155243.04+255229.2  ,4.667,238.1793333,25.8747861,18.383198,0.044752
SDSSJ145118.77-010446.2  ,4.672,222.8282083,-1.0795,19.310438,0.050213
SDSSJ155103.40+165324.5  ,4.676,237.7642083,16.8901556,19.56226,0.201609
SDSSJ170424.77+252236.6  ,4.685,256.10325,25.3768472,,
SDSSJ155726.74+242116.1  ,4.69 ,239.3614583,24.3544889,19.436697,0.171367
