t1_name,t1_redshift,t1_radeg,t1_decdeg,t1_japermag3,t1_japermag3err,flux_g,flux_ivar_g,flux_ivar_r,flux_ivar_w1,flux_ivar_w2,flux_ivar_z,flux_r,flux_w1,flux_w2,flux_z,mag_g,mag_r,mag_w1,mag_w2,mag_z,dist_arcsec
J015748.95+280854.5      ,M    ,29.45395833,28.14847222,15.077,0.035,4.282819,799.3766,148.1052,1.262045,0.439185,16.423042,18.700129,190.2377,129.74164,230.53375,20.920675,19.320389,16.801758,17.217302,16.593164,0.7968528949293779
J015908.24+280457.8      ,M    ,29.78433333,28.08272222,13.636,0.02,95.09818,131.57365,21.359447,0.483246,0.260546,3.709443,352.86942,748.0926,411.2498,1124.3208,17.55457,16.130964,15.315111,15.964736,14.872774,0.26350661949812226
PSO_J004.1834+23.0741    ,T    ,4.1834,23.0741,16.58,0.03,-0.006867,2101.6724,573.2681,1.463252,0.429539,32.87135,0.016415,141.846,141.84538,14.613278,NaN,26.961908,17.120457,17.120462,19.58813,2.0458962275586625
PSO_J031.5651+20.9097    ,T    ,31.5651,20.9097,16.73,0.03,-0.036406,2427.4746,664.75226,2.596665,0.526196,103.82493,-0.004917,21.760647,57.945023,6.98739,NaN,NaN,19.15582,18.092459,20.389212,1.7621734136451739
SDSSJ090634.84+023433.8  ,4.501,136.6451667,2.5760667,17.220577,0.009336,2.664913,659.4878,128.65459,1.877495,0.522146,49.363815,27.42213,83.97621,72.7045,42.335815,21.435793,18.904747,17.68961,17.846096,18.43323,0.07796628351609089
SDSSJ094004.80+052630.9  ,4.504,145.02,5.4419417,-999999500,-999999500,0.389359,1220.0217,506.19324,2.971012,0.638564,43.524296,2.630714,5.378047,9.460398,5.257868,23.524124,21.449816,20.673439,20.060226,20.697975,0.04853171187341078
SDSSJ093333.85+051839.9  ,4.506,143.3910833,5.3111028,18.385746,0.075917,1.212961,1126.8079,318.39453,2.234572,0.593104,48.989754,10.728573,42.591167,34.307484,18.879425,22.290382,19.923645,18.4267,18.661528,19.310028,0.08561635089188377
SDSSJ083429.44+214024.6  ,4.508,128.6226667,21.6735139,,,1.244751,1546.2655,398.1026,2.287717,0.537644,125.28252,8.788711,27.695518,25.171051,16.84034,22.262295,20.140186,18.893976,18.997747,19.434122,0.06030614222869111
BR1033-0327              ,4.509,159.09875,-3.7218639,,,4.066412,1368.372,174.62167,2.075242,0.544234,116.80557,26.462229,62.02562,53.290157,40.06114,20.97697,18.943434,18.018572,18.183382,18.493193,0.7273885954018959
SDSSJ092132.75+185654.9  ,4.519,140.3865,18.9486028,,,0.406106,1475.0594,395.56305,2.58689,0.571273,146.86533,3.035967,10.584637,14.261973,4.259161,23.478401,21.294258,19.93831,19.614552,20.92669,0.07822632202436251
