#ID , RA , DEC , z , Discovery Ref ,,,,
J070626.39+292105.50,07:06:26.39,+29:21:05.50,6.58,Wang19,,,,
J113508.93+501133.00,11:35:08.93,+50:11:33.00,6.58,Wang19,,,,
J092120.56+000722.90,09:21:20.56,+00:07:22.90,6.56,Matsuoka18,,,,
J111427.15+021517.60,11:14:27.15,+02:15:17.60,6.55,Matsuoka21,,,,
J144045.91+001912.90,14:40:45.91,+00:19:12.90,6.55,Matsuoka21,,,,
J022601.87+030259.28,02:26:01.87,+03:02:59.28,6.5412,Venemans15,,,,
J014852.74-282638.85,01:48:52.74,-28:26:38.85,6.54,Yang20,,,,
J052559.67-240622.98,05:25:59.67,-24:06:22.98,6.5397,used in Wang21-JWST,,,,
J111033.96-132945.60,11:10:33.96,-13:29:45.60,6.514770,Venemans15,,,,
J043947.08+163415.70,04:39:47.08,+16:34:15.70,6.51,Fan18,,,,
J022426.54-471129.40,02:24:26.54,-47:11:29.40,6.50,Reed17,,,,
J154505.62+423211.60,15:45:05.62,+42:32:11.60,6.50,Matsuoka18,,,,
J225634.63-024559.18,22:56:34.63,-02:45:59.18,6.5,Andika20,,,,
J135012.04-002705.20,13:50:12.04,-00:27:05.20,6.49,Matsuoka19b,,,,
J110327.65+022947.20,11:03:27.65,+02:29:47.20,6.49,Matsuoka21,,,,
J162911.29+240739.74,16:29:11.29,+24:07:39.74,6.476,Mazzucchelli17 and Wang19 independently,,,,
J2316-28?,  ,  ,>6.47,used by Cooper19,,,,
J004533.56+090156.96,00:45:33.56,+09:01:56.96,6.4693,Mazzucchelli17,,,,
J213110.29-435902.50,21:31:10.29,-43:59:02.50,6.45,Yang18,,,,
J132539.95+441559.00,13:25:39.95,+44:15:59.00,6.45,Matsuoka21,,,,
J231818.26-311344.30,23:18:18.26,-31:13:44.30,6.4435,Farina19,,,,
J172408.74+190143.12,17:24:08.74,+19:01:43.12,6.44,Mazzucchelli17,,,,
J132352.02-013941.40,13:23:52.02,-01:39:41.40,6.44,Matsuoka21,,,,
J121226.98+050533.49,12:12:26.98,+05:05:33.49,6.43835,Mazzucchelli17,,,,
J021013.19-045620.90,02:10:13.19,-04:56:20.90,6.4323,Willott10b,,,,
J114816.64+525150.30,11:48:16.64,+52:51:50.30,6.419,Fan03,,,,
J232908.28-030158.80,23:29:08.28,-03:01:58.80,6.4164,Willott07,,,,
J021638.85-522620.60,02:16:38.85,-52:26:20.60,6.41,Yang18,,,,
J100401.36+023930.70,10:04:01.36,+02:39:30.70,6.41,Matsuoka18,,,,
J110423.75+024708.60,11:04:23.75,+02:47:08.60,6.41,Matsuoka21,,,,
J223644.58+003256.90,22:36:44.58,+00:32:56.90,6.4,Matsuoka16,,,,
J153532.87+194320.10,15:35:32.87,+19:43:20.10,6.4,Wang19,,,,
J084456.62+022640.50,08:44:56.62,+02:26:40.50,6.40,Matsuoka19b,,,,
J113753.64+004509.70,11:37:53.64,+00:45:09.70,6.40,Matsuoka19b,,,,
J0055,  ,  ,6.4, Nanni in prep ,,,,
J085907.19+002255.90,08:59:07.19,+00:22:55.90,6.39,Matsuoka16,,,,
J140617.42+433033.20,14:06:17.42,+43:30:33.20,6.39,Matsuoka21,,,,
J103654.19-023237.94,10:36:54.19,-02:32:37.94,6.38,Banados16,,,,
J080305.42+313834.20,08:03:05.42,+31:38:34.20,6.377,Wang19,,,,
J021144.53-020303.90,02:11:44.53,-02:03:03.90,6.37,Matsuoka18,,,,
J115221.27+005536.60,11:52:21.27,+00:55:36.60,6.3643,Matsuoka16,,,,
J230422.97+004505.40,23:04:22.97,+00:45:05.40,6.36,Matsuoka18,,,,
J085738.53+005612.70,08:57:38.53,+00:56:12.70,6.35,Matsuoka17,,,,
J131608.14+102832.80,13:16:08.14,+10:28:32.80,6.35,Wang19,,,,
J225538.04+025126.60,22:55:38.04,+02:51:26.60,6.34,Matsuoka18,,,,
J053520.90+115053.60,05:35:20.90,+11:50:53.60,6.34,Andika20,,,,
J105131.80-015159.00,10:51:31.80,-01:51:59.00,6.34,Matsuoka21,,,,
J221112.41-320612.96,22:11:12.41,-32:06:12.96,6.3394,Chehade18,,,,
J114803.28+070208.30,11:48:03.28,+07:02:08.30,6.339,Jiang16,,,,
J014243.70-332745.72,01:42:43.70,-33:27:45.72,6.3379,Carnall15,,,,
J140629.12-011611.20,14:06:29.12,-01:16:11.20,6.33,Matsuoka18,,,,
J010013.03+280225.84,01:00:13.03,+28:02:25.84,6.3258,Wu15,,,,
J133206.46-011325.70,13:32:06.46,-01:13:25.70,6.31,Matsuoka21,,,,
J093830.24+015405.80,09:38:30.24,+01:54:05.80,6.31,Matsuoka21,,,,
J114658.89-000537.70,11:46:58.89,-00:05:37.70,6.30,Matsuoka18,,,,
J103027.10+052455.00,10:30:27.10,+05:24:55.00,6.3000,Fan01,,,,
J142143.31+263157.30,14:21:43.31,+26:31:57.30,6.27,used by Li20,,,,
J090544.65+030058.80,09:05:44.65,+03:00:58.80,6.27,Matsuoka17,,,,
J152555.79+430324.00,15:25:55.79,+43:03:24.00,6.27,Matsuoka19b,,,,
