Name,dist_off,,Plan,JAB_off,Observing notes,Daming's notes,RA,DEC,JAB,Priority,ra_off,dec_off,Flag,Image_Note
J124431.072+014706.446,31.65922456,175.8845809,,16.414969,,,191.1294678,1.7851239,20.053198,0.002313748189,191.1381918,1.7862691,Nanni,FW--Junk?
J130235.675+042529.157,52.34537324,290.8076291,,17.274605,,,195.6486472,4.4247659,20.742117,0.003200146777,195.6346226,4.4287521,Nanni,
J131732.249+103044.876,49.79335096,276.6297276,,16.455788,,,199.3843714,10.5124655,21.147475,0.006800999221,199.3832338,10.4986797,Nanni,
J131842.031+293258.815,95.89450975,532.7472764,,16.160758,,,199.6751289,29.5496708,20.100214,0.004321929918,199.7057488,29.5499296,Nanni,NQ--FIRE
J132554.596+275444.446,30.68427936,170.4682187,,17.936535,,,201.4774827,27.9123462,20.911083,0.001036226973,201.4717903,27.9192274,Nanni,
J133442.333+083439.389,54.3793242,302.1073566,,17.71852,,,203.6763885,8.5776081,20.687603,0.001029579042,203.6634039,8.5855656,Nanni,
J134423.986+280603.862,0,0,,18.12673,,,206.09994,28.1010727,18.12673,0.001671799451,206.09994,28.1010727,Nanni,FW-- i/z-detect
J134452.826+223600.619,63.64723796,353.5957664,,16.623594,,,206.2201069,22.600172,20.5558,0.01247703218,206.2389136,22.6035134,Nanni,FW-- Fuzzy
J135656.671+013406.571,34.27150712,190.3972618,,18.289904,,,209.2361301,1.568492,20.732256,0.002065401865,209.2282971,1.5630784,Nanni,FW--Junk?
J135753.328+334638.357,47.07459718,261.5255399,,18.849352,,,209.4722019,33.7773213,20.252487,0.001611481213,209.4665999,33.7651031,Nanni,
J141846.882+023659.780,49.03826465,272.4348036,,16.11566,,,214.6953403,2.6166056,20.43339,0.001346441427,214.7078119,2.6221146,Nanni,
J142836.853+082029.342,58.73948587,326.330477,,17.548275,,,217.1535531,8.341484,20.627453,0.001220174148,217.1615668,8.3272234,Nanni,
J143046.484+090508.617,96.63617542,536.8676412,,16.547364,,,217.6936848,9.085727,20.444485,0.00107004008,217.6680858,9.0947591,Nanni,
J151146.328+034405.960,37.29839943,207.2133302,,17.956526,,,227.9430315,3.7349889,20.372408,0.001496368233,227.9341643,3.7295982,Nanni,
J162002.362+304350.300,51.89807318,288.3226288,,17.936837,,,245.0098418,30.7306388,20.961186,0.001123021975,245.0149215,30.744378,Nanni,
J163537.416+305627.961,69.57590172,386.5327873,,16.464863,,,248.9058991,30.9411002,20.670088,0.001537596855,248.9273873,30.9469157,Nanni,
J225058.156+094606.778,25.07502542,139.3056968,,16.746867,,,342.7423164,9.7685494,20.246468,0.002340524857,342.7453616,9.7622622,Nanni,FW-- Fuzzy
