| slit |                    name | spat_pixpos | spat_fracpos | box_width | opt_fwhm |    s2n | wv_rms |
|  773 | SPAT0133-SLIT0773-DET01 |       133.1 |        0.077 |      3.00 |    5.269 |  43.44 |  0.385 |
|  773 | SPAT0653-SLIT0773-DET01 |       653.1 |        0.422 |      3.00 |    3.076 |  74.21 |  0.385 |
|  773 | SPAT0800-SLIT0773-DET01 |       799.8 |        0.518 |      3.00 |    6.527 |   1.55 |  0.385 |
|  773 | SPAT0853-SLIT0773-DET01 |       853.4 |        0.552 |      3.00 |    2.088 |   2.40 |  0.385 |
|  773 | SPAT0879-SLIT0773-DET01 |       878.8 |        0.570 |      3.00 |   11.677 |   6.07 |  0.385 |
|  773 | SPAT0902-SLIT0773-DET01 |       901.7 |        0.584 |      3.00 |   25.133 |  28.06 |  0.385 |
|  773 | SPAT0982-SLIT0773-DET01 |       981.8 |        0.638 |      3.00 |    0.870 | 291.70 |  0.385 |
|  773 | SPAT1033-SLIT0773-DET01 |      1033.4 |        0.673 |      3.00 |    6.965 |  17.76 |  0.385 |
|  773 | SPAT1067-SLIT0773-DET01 |      1067.5 |        0.693 |      3.00 |    1.337 |  27.99 |  0.385 |
|  773 | SPAT1108-SLIT0773-DET01 |      1108.4 |        0.722 |      3.00 |   45.291 | 135.09 |  0.385 |
|  773 | SPAT1135-SLIT0773-DET01 |      1135.1 |        0.740 |      3.00 |   19.014 |  62.33 |  0.385 |
|  773 | SPAT1147-SLIT0773-DET01 |      1146.8 |        0.748 |      3.00 |   18.077 |  83.17 |  0.385 |
|  773 | SPAT1186-SLIT0773-DET01 |      1186.4 |        0.774 |      3.00 |   35.936 |  60.16 |  0.385 |
|  773 | SPAT1203-SLIT0773-DET01 |      1202.7 |        0.785 |      3.00 |   30.734 |  60.43 |  0.385 |
|  773 | SPAT1249-SLIT0773-DET01 |      1249.1 |        0.815 |      3.00 |   22.673 |  53.80 |  0.385 |
|  773 | SPAT1294-SLIT0773-DET01 |      1294.5 |        0.846 |      3.00 |    3.159 |   2.50 |  0.385 |
|  773 | SPAT1303-SLIT0773-DET01 |      1302.8 |        0.851 |      3.00 |    6.947 |  13.64 |  0.385 |
|  773 | SPAT1307-SLIT0773-DET01 |      1306.9 |        0.854 |      3.00 |    7.548 |   7.57 |  0.385 |
|  773 | SPAT1324-SLIT0773-DET01 |      1323.9 |        0.865 |      3.00 |    8.682 |  -5.17 |  0.385 |
|  773 | SPAT1393-SLIT0773-DET01 |      1392.5 |        0.908 |      3.00 |    2.929 |  85.23 |  0.385 |
