,ra,dec,PA,mag,mag_off,ra_off,dec_off,priority,flag,Night1,Night2,Notes
J1351+0128,13 51 32.340,01 28 09.564,-128.71,21.7,19.9,-30.42,-24.38,2,Nanni,,,
J1355-0044,13 55 04.666,-00 44 20.543,-146.87,21.6,20.1,-13.09,-20.06,1,Nanni,O,,Not QSO
J1355-0111,13 55 39.628,-01 11 29.482,-90.13,22.9,19.9,-22.04,-0.05,1,Nanni,O,,Not QSO
J1356+0050,13 56 36.648,00 50 39.698,127.12,22.6,16.6,47.85,-36.22,1,Nanni,O,,Not QSO
J1358-0118,13 58 43.798,-01 18 21.127,-69.38,21.5,19.4,-32.69,12.3,1,Nanni,O,,Not QSO
J1358+0349,13 58 52.525,03 49 02.422,-140.7,21.9,18.4,-28.3,-34.58,3,Nanni,,,
J1407+1333,14 07 56.872,13 33 01.770,-39.71,20.8,17.6,-16.49,19.86,4,Nanni,,,
J1412-2757,14 12 10.969,-27 57 30.305,78.91,19.8,17.7,28.07,5.5,1,Banados,,O,Not QSO
J1413+0046,14 13 53.005,00 46 07.445,-0.22,21,18.8,-0.28,74.4,4,Nanni,,,
J1415+0203,14 15 52.018,02 03 00.098,-142.11,21.8,19.6,-2.23,-2.86,2,Nanni,,,
J1422+0307,14 22 26.653,03 07 54.184,-60.9,21.9,17.8,-36.45,20.29,1,Nanni,O,,Not QSO
J1423+0348,14 23 38.992,03 48 11.765,14.11,22.6,16.4,1.16,4.6,2,Nanni,,,
J1425+0004,14 25 24.120,00 04 17.406,-141.62,21.7,19,-10.67,-13.48,1,Nanni,,O,Not QSO
J1427+0202,14 27 48.542,02 02 27.227,-86.92,23,19.9,-35.83,1.93,1,Nanni,,O,Not QSO
J1427+0213,14 27 54.834,02 13 15.544,-79.92,22.5,19.6,-36.4,6.47,3,Nanni,,,
J1432+0015,14 32 13.266,00 15 47.295,162.52,21.9,19.5,10.9,-34.61,2,Nanni,,,
J1443+0210,14 43 37.301,02 10 04.020,-62.98,21.5,15.8,-12.71,6.48,1,Nanni,,O,Problematic
J1444-0338,14 44 39.798,-03 38 55.482,75.73,23,20.3,21.29,5.42,4,Nanni,,,
J1450+1005,14 50 07.363,10 05 43.746,28.99,21.2,17,37.21,67.16,4,Nanni,,,
J1458+1012,14 58 36.163,10 12 49.650,-108.02,19.9,18.4,-21.65,-7.04,0,Banados,,O,"QSO, z=5.6"
J1502+0415,15 02 32.789,04 15 53.625,66.4,20.9,17.8,28.5,12.45,4,Nanni,,,
J1506+0129,15 06 44.678,01 29 40.431,16.31,22.6,18.4,3.48,11.9,3,Nanni,,,
