| slit |                    name | spat_pixpos | spat_fracpos | box_width | opt_fwhm |   s2n | wv_rms |
| 1038 | SPAT0827-SLIT1038-DET01 |       827.2 |        0.173 |      3.00 |    1.112 |  3.48 |  0.049 |
| 1038 | SPAT0932-SLIT1038-DET01 |       931.8 |        0.337 |      3.00 |    1.040 |  0.84 |  0.049 |
| 1038 | SPAT0998-SLIT1038-DET01 |       997.9 |        0.439 |      3.00 |    0.783 | 17.32 |  0.049 |
| 1038 | SPAT1065-SLIT1038-DET01 |      1064.8 |        0.544 |      3.00 |    1.016 |  0.67 |  0.049 |
| 1038 | SPAT1200-SLIT1038-DET01 |      1199.9 |        0.754 |      3.00 |    3.034 |  0.54 |  0.049 |
| 1038 | SPAT1249-SLIT1038-DET01 |      1249.2 |        0.831 |      3.00 |    9.280 |  0.47 |  0.049 |
| 1038 | SPAT1268-SLIT1038-DET01 |      1267.7 |        0.861 |      3.00 |    9.544 |  0.59 |  0.049 |
| 1038 | SPAT1271-SLIT1038-DET01 |      1271.1 |        0.866 |      3.00 |    9.518 |  0.53 |  0.049 |
