| slit |                    name | spat_pixpos | spat_fracpos | box_width | opt_fwhm |   s2n |
| 1035 | SPAT0080-SLIT1035-DET01 |        79.8 |        0.034 |      3.00 |    4.423 |  0.92 |
| 1035 | SPAT0286-SLIT1035-DET01 |       285.5 |        0.135 |      3.00 |    1.430 |  1.21 |
| 1035 | SPAT0838-SLIT1035-DET01 |       838.3 |        0.404 |      3.00 |    4.643 |  1.07 |
| 1035 | SPAT0847-SLIT1035-DET01 |       847.0 |        0.408 |      3.00 |    4.661 |  1.05 |
| 1035 | SPAT1050-SLIT1035-DET01 |      1049.9 |        0.507 |      3.00 |    0.880 |  1.31 |
| 1035 | SPAT1140-SLIT1035-DET01 |      1140.0 |        0.551 |      3.00 |    0.684 | 40.50 |
| 1035 | SPAT1654-SLIT1035-DET01 |      1653.5 |        0.802 |      3.00 |    2.368 |  1.07 |
| 1035 | SPAT1799-SLIT1035-DET01 |      1798.6 |        0.872 |      3.00 |    3.824 |  0.56 |
| 1035 | SPAT1812-SLIT1035-DET01 |      1812.1 |        0.879 |      3.00 |    1.422 |  1.16 |
| 1035 | SPAT1951-SLIT1035-DET01 |      1951.5 |        0.947 |      3.00 |    0.752 |  5.89 |
