| slit |                    name | spat_pixpos | spat_fracpos | box_width | opt_fwhm |  s2n |
| 1032 | SPAT0066-SLIT1032-DET01 |        66.4 |        0.027 |      3.00 |    3.704 | 0.29 |
| 1032 | SPAT0382-SLIT1032-DET01 |       382.1 |        0.182 |      3.00 |    1.385 | 0.24 |
| 1032 | SPAT0436-SLIT1032-DET01 |       435.9 |        0.208 |      3.00 |    0.988 | 0.23 |
| 1032 | SPAT0480-SLIT1032-DET01 |       480.4 |        0.230 |      3.00 |    1.332 | 0.34 |
| 1032 | SPAT0583-SLIT1032-DET01 |       583.1 |        0.280 |      3.00 |    4.117 | 0.63 |
| 1032 | SPAT0768-SLIT1032-DET01 |       767.7 |        0.371 |      3.00 |    3.725 | 0.32 |
| 1032 | SPAT1024-SLIT1032-DET01 |      1023.9 |        0.496 |      3.00 |    1.059 | 0.93 |
| 1032 | SPAT1069-SLIT1032-DET01 |      1068.8 |        0.518 |      3.00 |    0.858 | 0.67 |
| 1032 | SPAT1422-SLIT1032-DET01 |      1421.5 |        0.690 |      3.00 |    3.941 | 0.39 |
| 1032 | SPAT1793-SLIT1032-DET01 |      1793.4 |        0.873 |      3.00 |    3.876 | 0.43 |
