| slit |                    name | spat_pixpos | spat_fracpos | box_width | opt_fwhm |   s2n |
| 1058 | SPAT0227-SLIT1058-DET01 |       226.5 |        0.104 |      3.00 |    2.298 |  1.80 |
| 1058 | SPAT0508-SLIT1058-DET01 |       508.2 |        0.238 |      3.00 |    1.973 |  6.15 |
| 1058 | SPAT0780-SLIT1058-DET01 |       780.1 |        0.368 |      3.00 |   10.709 |  0.89 |
| 1058 | SPAT0795-SLIT1058-DET01 |       794.9 |        0.375 |      3.00 |   10.771 |  1.12 |
| 1058 | SPAT1072-SLIT1058-DET01 |      1072.2 |        0.507 |      3.00 |    1.124 |  0.77 |
| 1058 | SPAT1239-SLIT1058-DET01 |      1239.3 |        0.587 |      3.00 |    0.606 | 29.01 |
| 1058 | SPAT1563-SLIT1058-DET01 |      1563.1 |        0.741 |      3.00 |    0.978 |  2.18 |
| 1058 | SPAT1986-SLIT1058-DET01 |      1986.4 |        0.943 |      3.00 |   10.516 |  1.10 |
