| slit |                    name | spat_pixpos | spat_fracpos | box_width | opt_fwhm |  s2n |
| 1032 | SPAT0448-SLIT1032-DET01 |       448.2 |        0.215 |      3.00 |    3.871 | 0.44 |
| 1032 | SPAT0585-SLIT1032-DET01 |       585.1 |        0.281 |      3.00 |    3.475 | 0.64 |
| 1032 | SPAT0710-SLIT1032-DET01 |       710.3 |        0.342 |      3.00 |    3.592 | 0.62 |
| 1032 | SPAT0842-SLIT1032-DET01 |       842.4 |        0.407 |      3.00 |    3.837 | 1.38 |
| 1032 | SPAT1017-SLIT1032-DET01 |      1017.4 |        0.492 |      3.00 |    4.573 | 0.60 |
| 1032 | SPAT1032-SLIT1032-DET01 |      1031.8 |        0.500 |      3.00 |    4.757 | 0.76 |
| 1032 | SPAT1045-SLIT1032-DET01 |      1044.9 |        0.506 |      3.00 |    6.755 | 0.58 |
| 1032 | SPAT1333-SLIT1032-DET01 |      1333.3 |        0.647 |      3.00 |    0.650 | 7.91 |
| 1032 | SPAT1540-SLIT1032-DET01 |      1539.9 |        0.749 |      3.00 |    3.631 | 0.65 |
| 1032 | SPAT1864-SLIT1032-DET01 |      1864.5 |        0.907 |      3.00 |    3.099 | 0.97 |
