| slit |                    name | spat_pixpos | spat_fracpos | box_width | opt_fwhm |  s2n |
| 1032 | SPAT0019-SLIT1032-DET01 |        18.7 |        0.004 |      3.00 |    3.369 | 1.27 |
| 1032 | SPAT0244-SLIT1032-DET01 |       243.9 |        0.114 |      3.00 |    3.805 | 0.72 |
| 1032 | SPAT0327-SLIT1032-DET01 |       327.2 |        0.156 |      3.00 |    3.703 | 0.70 |
| 1032 | SPAT0331-SLIT1032-DET01 |       330.7 |        0.157 |      3.00 |    3.716 | 0.58 |
| 1032 | SPAT0580-SLIT1032-DET01 |       580.0 |        0.279 |      3.00 |    3.816 | 1.00 |
| 1032 | SPAT0886-SLIT1032-DET01 |       885.9 |        0.429 |      3.00 |    0.591 | 7.19 |
| 1032 | SPAT1346-SLIT1032-DET01 |      1345.9 |        0.654 |      3.00 |    3.723 | 0.65 |
| 1032 | SPAT1720-SLIT1032-DET01 |      1719.9 |        0.836 |      3.00 |    0.795 | 0.29 |
| 1032 | SPAT1857-SLIT1032-DET01 |      1857.0 |        0.904 |      3.00 |    3.669 | 1.32 |
| 1032 | SPAT1989-SLIT1032-DET01 |      1988.7 |        0.968 |      3.00 |    3.497 | 1.05 |
